ops,ops_1,ops_2,ops_3,ops_4,ops_5,ops_6,ops_7,ops_8,ops_9,ops_10,ops_11,ops_12,ops_13,ops_14,ops_15,ops_16,ops_17,ops_18,ops_19,ops_20,ops_21,ops_22,ops_23,ops_24,ops_25
전체,,0.65,0.2,0.0,0.5,0.5,0.0,1.857,0.0,0.533,0.73,0.6,0.776,1.091,0.795,0.708,0.817,0.883,1.692,0.933,0.214,0.4,0.364,0.0,
커브,,,,,,,,0.0,,0.0,0.5,1.75,0.75,,,1.334,0.5,0.0,3.0,,0.5,2.0,1.0,0.0,
슬라이더,,2.0,,,0.0,1.0,0.0,2.0,0.0,,0.762,0.666,1.166,3.0,1.167,0.0,1.319,0.5,1.667,,0.111,0.0,0.0,0.0,
체인지업,,,,,,0.0,0.0,5.0,0.0,,0.0,0.0,0.0,0.0,5.0,1.0,0.75,0.0,1.75,,0.0,0.0,1.0,,
포크볼,,,,,,,,2.0,,,,,0.0,,0.0,,2.0,4.5,,,,1.0,0.0,,
우투,,2.0,0.333,0.0,0.5,1.0,0.0,1.556,0.0,0.5,0.826,0.824,0.596,1.286,0.444,0.985,1.031,1.0,1.285,0.0,0.2,0.572,0.334,0.0,
좌투,,0.0,0.0,0.0,,0.0,0.0,1.75,,,0.0,0.0,0.429,0.0,1.4,0.5,0.0,0.367,2.5,2.0,0.0,0.0,0.4,0.0,
결정구,,0.65,0.0,0.0,0.5,0.666,0.0,0.858,0.0,0.0,0.639,0.444,0.6,0.75,0.2,0.473,0.616,0.756,1.25,,0.083,0.222,0.5,0.0,
카운트,,0.5,0.0,0.0,0.0,0.5,0.0,1.996,0.0,0.2,0.389,0.282,1.06,1.75,0.562,1.08,0.58,1.142,1.667,1.0,0.0,0.476,0.267,0.0,
패스트볼,,0.0,0.2,0.0,,0.0,0.0,1.4,0.0,0.416,0.75,0.268,0.39,0.643,0.222,0.75,0.625,1.125,1.4,0.933,0.5,,0.0,0.0,
