ops,ops_1,ops_2,ops_3,ops_4,ops_5,ops_6,ops_7,ops_8,ops_9,ops_10,ops_11,ops_12,ops_13,ops_14,ops_15,ops_16,ops_17,ops_18,ops_19,ops_20,ops_21,ops_22,ops_23,ops_24,ops_25
전체,0.0,0.417,0.0,0.971,,0.0,0.444,0.3,0.847,0.5,0.625,0.917,0.385,0.77,0.0,0.0,0.8,0.782,0.266,0.777,0.0,0.5,0.258,0.0,0.0
커브,0.0,,,,,,,0.0,,0.0,,,,,,,,0.0,,0.0,0.0,,0.0,,
슬라이더,,2.0,,,,,,0.0,0.666,2.0,0.666,0.0,0.0,,,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
체인지업,,,,0.0,,,0.0,,0.0,,,2.0,0.0,0.0,0.0,,,2.0,0.0,0.0,,2.0,,0.0,0.0
포크볼,,,,,,,2.0,,,,,,,1.5,,,,0.0,0.0,,,0.0,0.65,0.0,0.0
우투,0.0,0.2,0.0,0.75,,0.0,0.5,0.0,0.9,0.5,0.334,1.0,0.5,0.666,0.0,0.0,1.0,1.2,0.0,1.167,0.0,0.572,0.143,0.0,0.0
좌투,,0.0,0.0,2.0,,,,0.0,0.666,,1.5,0.0,0.0,,,,0.0,0.0,1.0,0.0,,,0.0,,0.0
결정구,0.0,0.25,0.0,0.833,,,0.334,0.0,1.167,0.0,0.4,0.666,0.0,0.572,,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.282,0.0,0.0
카운트,0.0,0.416,0.0,0.667,,0.0,0.334,0.5,1.116,0.667,0.438,1.167,0.179,0.777,0.0,0.0,0.833,0.732,0.656,0.945,0.0,0.666,0.25,0.0,0.0
패스트볼,0.0,0.25,0.0,1.1,,0.0,0.167,0.375,1.0,0.0,0.375,0.5,1.625,0.8,,0.0,0.5,0.636,1.333,1.167,,,,,0.0
