ops,ops_1,ops_2,ops_3,ops_4,ops_5,ops_6,ops_7,ops_8,ops_9,ops_10,ops_11,ops_12,ops_13,ops_14,ops_15,ops_16,ops_17,ops_18,ops_19,ops_20,ops_21,ops_22,ops_23,ops_24,ops_25
전체,2.0,1.25,0.864,0.364,0.75,1.133,0.709,0.891,0.726,1.0,0.444,1.333,0.822,0.909,0.347,0.667,1.518,0.555,0.854,0.619,0.542,0.542,0.627,0.714,0.222
커브,,,,,,5.0,1.0,0.286,0.0,,,0.0,0.0,0.8,0.0,,1.334,0.666,0.666,2.0,1.0,0.0,0.0,,0.5
슬라이더,,,1.8,0.0,0.0,0.0,1.25,1.111,1.25,,1.0,0.286,0.878,0.858,0.0,,1.167,0.286,1.5,0.8,0.333,0.0,0.929,0.5,0.25
체인지업,,,,,,,0.0,0.4,1.4,0.0,,,0.944,1.5,0.65,,,0.4,0.0,0.0,0.0,0.933,0.0,1.071,0.0
포크볼,,,0.0,,,,,0.6,0.666,2.0,,2.0,0.0,0.6,0.0,,1.5,,1.0,0.0,,,0.666,0.0,0.0
우투,2.0,,0.714,0.333,0.75,1.4,0.706,0.709,0.8,1.2,0.833,1.353,0.803,0.984,0.143,,1.591,0.478,0.8,0.334,0.598,0.756,0.5,0.697,0.0
좌투,,1.214,0.5,0.5,,0.167,0.637,1.062,0.411,,0.167,1.571,0.888,0.4,0.393,0.5,1.15,0.7,0.858,0.572,,0.0,1.1,0.661,0.333
결정구,2.0,0.833,0.393,0.0,0.6,0.143,0.546,1.0,0.5,0.8,0.0,0.8,0.638,0.684,0.368,0.5,1.538,0.286,0.643,0.364,0.3,0.364,0.334,0.728,0.25
카운트,2.0,1.0,0.601,0.167,0.0,1.25,0.472,1.141,0.744,1.5,0.333,1.537,0.688,1.066,0.357,0.0,1.496,0.416,0.899,0.811,0.433,0.4,0.682,0.617,0.0
패스트볼,2.0,0.75,0.543,0.333,0.833,1.4,0.278,0.729,0.298,1.333,0.233,2.528,0.743,0.663,0.533,0.5,1.263,0.776,0.433,0.5,,0.334,0.666,1.0,
