ops,ops_1,ops_2,ops_3,ops_4,ops_5,ops_6,ops_7,ops_8,ops_9,ops_10,ops_11,ops_12,ops_13,ops_14,ops_15,ops_16,ops_17,ops_18,ops_19,ops_20,ops_21,ops_22,ops_23,ops_24,ops_25
전체,0.75,1.75,0.75,1.375,,0.8,0.334,0.666,1.0,1.0,0.2,1.063,0.745,0.77,,1.125,0.455,0.667,0.364,0.0,,0.836,0.946,0.938,1.0
커브,,,,,,,0.0,0.0,0.0,,,0.0,,0.0,,,2.0,0.0,,,,0.0,2.0,2.0,
슬라이더,,,0.0,,,0.0,0.0,0.8,0.0,,0.0,0.5,0.5,0.0,,0.0,0.0,0.5,0.0,0.0,,0.666,0.0,,0.0
체인지업,,,,,,,,,,,0.0,,1.5,,,,,0.0,,0.0,,,0.0,0.4,2.0
포크볼,,,,,,,,,,2.0,,1.0,,1.0,,,0.0,0.0,0.666,0.0,,0.0,0.0,1.334,
우투,,0.5,0.933,2.0,,,0.444,0.6,0.833,0.5,0.25,1.0,0.858,0.572,,1.125,0.375,1.0,1.0,0.0,,0.556,0.933,1.056,
좌투,0.75,,0.0,,,0.8,0.0,0.5,0.0,3.0,,1.334,0.367,1.5,,,0.666,0.0,0.25,0.0,,2.0,1.0,0.667,1.0
결정구,0.333,1.5,0.833,1.25,,0.5,0.5,0.0,1.0,0.666,0.0,1.2,0.666,0.572,,1.267,0.0,0.0,0.444,0.0,,0.5,0.167,0.75,1.0
카운트,0.708,1.5,0.5,1.0,,0.0,0.333,0.912,1.292,1.125,0.167,1.008,1.029,0.952,,0.934,0.375,0.469,0.191,0.0,,0.952,0.9,0.767,1.0
패스트볼,0.714,1.75,0.833,1.333,,,0.778,0.75,0.714,0.75,0.5,0.812,0.75,1.0,,1.583,0.25,1.2,1.0,0.0,,,1.5,0.0,
