year,h_avg,obp,slg,ops,wrc_plus,h,2b,3b,hr,rbi,sb,bb,so,pa,ab,war
2015,0.0,0.0,0.0,0.0,-149.0,0,0,0,0,0,0,0,0,3,3,-0.09
2016,0.5,0.5,0.5,1.0,175.5,1,0,0,0,0,0,0,0,2,2,0.05
2018,0.355,0.412,0.452,0.864,124.3,11,0,0,1,3,1,3,5,35,31,0.1
2019,0.275,0.305,0.38,0.685,81.4,103,14,5,5,46,12,17,67,399,374,1.4
2020,0.217,0.253,0.289,0.542,32.0,18,1,1,1,6,2,4,22,88,83,-0.47
KIA,0.283,0.267,0.55,0.053,-0.99,4,0,0,48,5,2,24,2,191,18,-0.99
2021,0.276,0.314,0.341,0.655,72.2,105,12,5,1,36,8,24,64,414,381,0.12
2022,0.0,0.0,0.0,0.0,-130.9,0,0,0,0,0,0,0,2,4,4,-0.17
키움,0.32,0.3,0.62,0.082,-0.07,5,1,0,75,1,2,29,4,269,35,-0.07
2023,0.275,0.292,0.3,0.592,57.6,55,5,0,0,16,0,6,23,212,200,-0.73
2024,0.222,0.249,0.286,0.535,27.5,42,6,3,0,10,0,8,27,202,189,-0.04
