year,h_avg,obp,slg,ops,wrc_plus,h,2b,3b,hr,rbi,sb,bb,so,pa,ab,war
2004,0.129,0.203,0.145,0.348,-34.2,8,1,0,0,2,1,6,21,70,62,-0.93
2005,0.266,0.34,0.353,0.693,92.6,110,17,2,5,37,31,48,64,479,414,1.84
2006,0.318,0.391,0.412,0.803,144.2,154,25,9,1,39,38,62,48,552,485,5.76
2007,0.28,0.344,0.355,0.699,99.8,123,17,8,0,27,17,44,40,491,439,3.14
2008,0.312,0.385,0.398,0.783,133.4,130,24,6,0,38,28,51,37,473,417,5.24
2009,0.266,0.364,0.349,0.713,87.6,45,8,3,0,14,10,27,21,201,169,1.07
2010,0.307,0.398,0.371,0.769,119.1,145,19,1,3,51,25,75,50,555,472,4.08
2011,0.333,0.427,0.401,0.828,145.3,140,16,2,3,33,30,74,33,503,421,6.27
2012,0.283,0.377,0.332,0.709,115.5,139,14,2,2,37,44,76,38,580,491,4.18
2013,0.295,0.375,0.367,0.742,116.0,115,20,1,2,22,21,51,37,453,390,2.51
2014,0.288,0.385,0.344,0.729,88.9,103,12,4,0,20,12,57,46,418,358,-0.02
2015,0.341,0.427,0.424,0.851,123.1,168,15,7,4,42,28,82,45,585,493,3.96
2016,0.352,0.438,0.434,0.872,127.9,159,20,4,3,41,21,71,29,530,452,4.4
2017,0.263,0.332,0.318,0.65,70.6,47,8,1,0,12,10,19,20,200,179,0.25
2018,0.293,0.379,0.332,0.711,89.3,144,14,1,1,36,30,71,62,575,491,1.73
2020,0.286,0.381,0.337,0.718,102.2,120,14,2,1,32,17,65,36,487,419,1.22
2021,0.296,0.392,0.373,0.765,119.5,136,16,8,1,43,17,78,46,547,459,3.31
2022,0.199,0.326,0.221,0.547,66.9,54,6,0,0,21,12,52,42,326,271,-0.68
2023,0.234,0.318,0.273,0.591,70.2,36,0,3,0,11,2,20,22,178,154,-0.46
2024,0.306,0.429,0.372,0.801,136.7,56,5,2,1,12,2,40,33,227,183,1.42
