year,h_avg,obp,slg,ops,wrc_plus,h,2b,3b,hr,rbi,sb,bb,so,pa,ab,war
2006,0.0,0.0,0.0,0.0,-172.6,0,0,0,0,0,0,0,2,3,3,-0.07
2007,0.0,0.0,0.0,0.0,-173.6,0,0,0,0,0,0,0,0,3,3,-0.07
2008,0.267,0.313,0.533,0.846,136.6,4,2,1,0,6,0,1,4,16,15,0.17
2009,0.0,0.091,0.0,0.091,-151.8,0,0,0,0,0,0,1,2,11,10,-0.24
2012,0.271,0.336,0.371,0.707,106.1,57,11,2,2,22,4,21,23,238,210,1.81
2013,0.297,0.35,0.44,0.79,113.4,27,5,1,2,10,1,9,9,100,91,0.59
2014,0.28,0.333,0.418,0.751,88.1,53,14,0,4,31,1,16,25,211,189,0.39
2015,0.282,0.356,0.429,0.785,106.2,67,16,2,5,32,0,30,34,270,238,1.27
2016,0.281,0.339,0.388,0.727,83.1,45,11,0,2,22,0,17,19,182,160,-0.21
2017,0.301,0.37,0.424,0.794,110.9,120,16,6,7,57,3,48,58,452,399,1.82
2018,0.333,0.397,0.582,0.979,150.5,173,39,6,26,108,1,62,89,590,519,5.71
2019,0.277,0.332,0.365,0.697,95.3,79,13,0,4,47,0,29,35,325,285,0.7
2020,0.306,0.366,0.473,0.839,127.9,156,29,4,16,88,2,59,66,574,509,4.51
2021,0.256,0.353,0.429,0.782,112.4,104,16,0,18,67,2,66,84,470,406,2.36
2022,0.211,0.288,0.362,0.65,77.5,63,14,2,9,41,0,35,55,333,298,-0.29
2023,0.235,0.31,0.432,0.742,99.3,100,24,0,20,63,0,52,94,478,426,0.97
2024,0.257,0.325,0.39,0.715,86.1,124,23,1,13,84,0,55,92,544,482,-0.03
