스윙율,스윙율_1,스윙율_2,스윙율_3,스윙율_4,스윙율_5,스윙율_6,스윙율_7,스윙율_8,스윙율_9,스윙율_10,스윙율_11,스윙율_12,스윙율_13,스윙율_14,스윙율_15,스윙율_16,스윙율_17,스윙율_18,스윙율_19,스윙율_20,스윙율_21,스윙율_22,스윙율_23,스윙율_24,스윙율_25
전체,28.6,51.9,44.4,23.9,12.0,63.6,63.3,65.5,70.0,18.2,60.0,70.0,63.4,60.4,18.2,47.6,57.1,72.9,84.0,45.9,26.7,50.0,52.6,63.2,35.0
커브,100.0,,0.0,0.0,0.0,100.0,,50.0,50.0,50.0,,100.0,0.0,50.0,0.0,,100.0,100.0,100.0,100.0,33.3,,100.0,50.0,33.3
슬라이더,0.0,50.0,20.0,25.0,16.7,100.0,100.0,40.0,50.0,25.0,50.0,100.0,60.0,25.0,50.0,100.0,80.0,100.0,100.0,50.0,75.0,63.6,77.8,0.0,50.0
체인지업,,0.0,,50.0,0.0,,0.0,50.0,75.0,0.0,,100.0,66.7,100.0,28.6,0.0,0.0,100.0,100.0,50.0,0.0,57.1,33.3,75.0,66.7
포크볼,,,0.0,0.0,25.0,,100.0,,100.0,0.0,,0.0,,77.8,0.0,0.0,0.0,33.3,100.0,20.0,0.0,42.9,53.8,85.7,16.7
우투,25.0,47.4,45.2,22.0,12.5,62.5,57.1,81.3,75.0,20.0,68.8,76.2,61.3,64.1,25.0,50.0,55.0,69.0,87.5,52.0,26.7,46.7,51.7,69.2,11.1
좌투,0.0,60.0,46.2,50.0,,66.7,85.7,33.3,50.0,0.0,33.3,75.0,85.7,37.5,0.0,50.0,100.0,78.6,66.7,44.4,,,57.1,0.0,44.4
결정구,50.0,87.5,81.3,20.0,9.1,100.0,85.7,100.0,100.0,36.4,75.0,100.0,100.0,100.0,25.0,80.0,100.0,100.0,100.0,66.7,42.9,57.1,64.7,77.8,40.0
카운트,16.675,52.05,39.475,21.475,26.05,51.775,58.425,62.175,65.825,15.6,52.05,65.475,61.375,54.375,15.1,53.875,50.825,65.3,73.55,46.675,21.9,26.4,46.9,41.675,50.0
패스트볼,11.1,59.65,34.933,20.0,8.3,55.567,65.267,41.2,75.0,13.35,60.0,48.967,79.533,44.65,12.5,46.667,55.0,86.9,80.0,65.833,0.0,29.15,18.75,33.333,50.0
