스윙율,스윙율_1,스윙율_2,스윙율_3,스윙율_4,스윙율_5,스윙율_6,스윙율_7,스윙율_8,스윙율_9,스윙율_10,스윙율_11,스윙율_12,스윙율_13,스윙율_14,스윙율_15,스윙율_16,스윙율_17,스윙율_18,스윙율_19,스윙율_20,스윙율_21,스윙율_22,스윙율_23,스윙율_24,스윙율_25
전체,9.4,30.5,34.3,19.8,3.3,50.0,78.9,65.6,58.9,26.7,69.2,60.4,76.3,60.3,26.8,48.6,74.4,60.3,62.7,31.6,25.9,23.3,43.1,40.2,16.0
커브,0.0,0.0,20.0,5.3,0.0,33.3,75.0,50.0,50.0,0.0,50.0,81.8,25.0,50.0,20.0,100.0,77.8,43.8,80.0,16.7,25.0,37.5,30.8,16.7,18.2
슬라이더,0.0,25.0,18.8,20.0,0.0,60.0,45.5,69.6,66.7,8.3,85.7,50.0,74.2,50.0,50.0,42.9,75.0,94.1,66.7,40.0,36.8,23.1,41.9,42.9,17.4
체인지업,0.0,0.0,20.0,0.0,0.0,0.0,100.0,50.0,53.8,35.7,75.0,60.0,85.7,76.9,36.8,50.0,50.0,68.8,60.0,23.8,16.7,28.6,42.9,52.2,22.2
포크볼,0.0,0.0,14.3,0.0,0.0,,,85.7,30.8,23.1,,40.0,75.0,61.5,7.7,0.0,66.7,50.0,75.0,50.0,100.0,8.3,55.6,50.0,30.0
우투,14.3,33.3,22.2,19.7,4.1,50.0,80.0,62.5,58.9,29.9,61.1,57.4,77.1,62.5,22.6,43.5,74.1,56.4,61.4,32.4,26.5,19.8,44.1,44.4,17.4
좌투,8.0,32.3,52.6,18.2,0.0,52.9,75.0,72.5,60.6,22.2,85.7,67.9,72.9,56.6,27.0,61.5,76.2,67.7,60.0,33.3,0.0,55.6,44.7,29.7,15.2
결정구,22.2,53.8,59.3,43.5,8.7,87.5,100.0,94.7,100.0,56.3,81.8,100.0,100.0,92.6,58.1,50.0,100.0,95.5,88.9,73.1,50.0,50.0,70.6,65.6,19.4
카운트,8.05,23.025,30.0,15.525,3.0,38.775,79.6,57.425,61.05,18.75,65.075,53.175,72.425,54.875,22.05,38.225,62.6,61.2,58.375,28.425,19.6,23.975,35.575,34.675,11.975
패스트볼,8.8,29.5,25.8,20.833,2.65,45.8,87.5,67.833,47.433,47.867,67.233,53.1,77.067,62.967,8.333,60.967,74.6,71.933,61.733,26.933,25.0,28.933,45.467,7.7,0.0
