스윙율,스윙율_1,스윙율_2,스윙율_3,스윙율_4,스윙율_5,스윙율_6,스윙율_7,스윙율_8,스윙율_9,스윙율_10,스윙율_11,스윙율_12,스윙율_13,스윙율_14,스윙율_15,스윙율_16,스윙율_17,스윙율_18,스윙율_19,스윙율_20,스윙율_21,스윙율_22,스윙율_23,스윙율_24,스윙율_25
전체,18.8,42.1,50.0,30.4,0.0,38.5,76.7,87.3,63.2,19.4,37.0,71.4,84.3,68.5,34.7,19.4,59.5,67.8,63.5,29.8,15.4,17.1,32.2,31.1,6.3
커브,0.0,0.0,50.0,0.0,0.0,0.0,80.0,88.9,66.7,0.0,50.0,66.7,100.0,40.0,,33.3,77.8,50.0,100.0,66.7,20.0,14.3,40.0,50.0,0.0
슬라이더,0.0,50.0,33.3,0.0,0.0,33.3,75.0,83.3,50.0,14.3,61.5,78.6,69.2,78.6,26.7,44.4,72.2,88.0,75.0,35.0,21.4,33.3,50.0,37.5,4.8
체인지업,0.0,,0.0,0.0,0.0,100.0,100.0,100.0,100.0,14.3,33.3,40.0,80.0,81.8,54.5,0.0,83.3,92.3,100.0,40.0,0.0,25.0,42.9,30.8,16.7
포크볼,0.0,0.0,0.0,20.0,0.0,,,100.0,88.9,44.4,0.0,66.7,100.0,66.7,83.3,,25.0,100.0,85.7,14.3,25.0,11.8,41.2,50.0,25.0
우투,0.0,44.4,42.5,23.8,0.0,21.4,78.1,88.9,64.6,27.3,34.5,75.0,84.0,69.4,37.2,31.6,52.1,73.3,64.7,20.0,15.6,19.6,35.1,34.2,25.0
좌투,23.1,36.4,57.1,54.5,0.0,70.0,77.3,83.7,63.6,0.0,41.2,81.0,81.5,63.6,36.4,0.0,77.3,61.1,65.4,33.3,25.0,6.7,26.9,26.5,2.7
결정구,0.0,70.0,53.8,57.1,0.0,50.0,87.5,100.0,76.2,11.1,57.1,100.0,100.0,81.3,37.0,44.4,78.6,89.5,85.7,43.8,11.1,20.0,33.3,40.9,8.7
카운트,15.267,39.775,51.8,32.9,0.0,21.875,72.9,82.725,47.325,17.3,28.725,62.0,77.5,69.375,37.275,24.325,54.675,55.925,57.875,33.325,10.725,20.45,24.65,24.35,3.575
패스트볼,16.65,49.333,29.25,21.05,0.0,38.55,67.033,88.667,62.033,21.733,47.933,78.133,94.567,56.667,31.867,2.367,60.8,46.2,39.9,22.533,25.0,8.533,0.0,10.0,0.0
