스윙율,스윙율_1,스윙율_2,스윙율_3,스윙율_4,스윙율_5,스윙율_6,스윙율_7,스윙율_8,스윙율_9,스윙율_10,스윙율_11,스윙율_12,스윙율_13,스윙율_14,스윙율_15,스윙율_16,스윙율_17,스윙율_18,스윙율_19,스윙율_20,스윙율_21,스윙율_22,스윙율_23,스윙율_24,스윙율_25
전체,25.0,60.9,48.6,20.7,5.3,50.0,67.9,76.3,67.3,16.7,42.1,69.2,70.2,71.7,27.8,54.2,65.5,74.6,71.4,41.7,23.8,62.1,64.6,50.0,34.1
커브,0.0,0.0,0.0,0.0,0.0,,0.0,50.0,0.0,0.0,100.0,50.0,83.3,66.7,33.3,33.3,50.0,75.0,33.3,,33.3,75.0,75.0,50.0,40.0
슬라이더,0.0,100.0,0.0,0.0,0.0,25.0,66.7,66.7,40.0,0.0,20.0,83.3,78.6,40.0,14.3,66.7,77.8,70.0,80.0,55.6,33.3,75.0,75.0,45.5,40.0
체인지업,,,0.0,,0.0,100.0,50.0,0.0,100.0,12.5,,,50.0,100.0,33.3,0.0,,100.0,100.0,20.0,,25.0,66.7,45.5,
포크볼,,,100.0,0.0,0.0,,100.0,50.0,42.9,50.0,,0.0,66.7,60.0,50.0,0.0,100.0,100.0,85.7,66.7,,60.0,56.3,83.3,28.6
우투,66.7,53.8,50.0,25.0,6.3,100.0,69.2,82.8,71.4,13.9,37.5,66.7,60.0,73.5,36.8,55.0,70.0,81.8,78.3,29.4,26.3,70.8,60.0,44.4,22.2
좌투,11.1,66.7,50.0,0.0,0.0,40.0,61.5,71.4,50.0,50.0,100.0,75.0,83.3,60.0,23.1,0.0,42.9,56.3,64.7,57.1,,50.0,77.8,50.0,36.7
결정구,50.0,62.5,61.5,22.2,4.0,100.0,100.0,100.0,85.7,31.3,75.0,90.9,100.0,90.0,50.0,16.7,100.0,90.9,94.4,50.0,20.0,66.7,57.1,57.1,29.4
카운트,18.75,66.675,51.975,18.275,5.65,50.0,58.55,71.35,65.075,16.15,43.425,61.3,65.7,70.25,15.875,48.325,63.55,68.4,71.625,56.75,20.725,62.333,67.75,37.875,36.325
패스트볼,44.433,40.2,53.85,10.0,3.933,75.0,92.167,72.9,72.9,7.933,58.333,87.867,63.9,85.0,14.3,68.75,69.433,78.133,64.8,51.55,0.0,53.333,57.133,60.0,0.0
