,컨택율,컨택율_1,컨택율_2,컨택율_3,컨택율_4,컨택율_5,컨택율_6,컨택율_7,컨택율_8,컨택율_9,컨택율_10,컨택율_11,컨택율_12,컨택율_13,컨택율_14,컨택율_15,컨택율_16,컨택율_17,컨택율_18,컨택율_19,컨택율_20,컨택율_21,컨택율_22,컨택율_23,컨택율_24,컨택율_25
0,Contact% - 전체,,37.5,29.4,31.3,12.5,80.0,56.8,65.8,71.9,91.7,73.7,70.0,76.2,91.7,90.5,64.3,75.0,72.9,88.0,94.7,9.5,26.9,54.8,53.3,28.6
4,Contact% - 커브,,,,,,,100.0,0.0,100.0,100.0,100.0,100.0,75.0,100.0,100.0,83.3,100.0,75.0,100.0,100.0,0.0,25.0,80.0,0.0,33.3
5,Contact% - 슬라이더,,100.0,,,0.0,75.0,80.0,77.8,100.0,,75.0,100.0,90.0,100.0,100.0,53.8,73.7,81.3,100.0,100.0,7.1,25.0,40.0,60.0,0.0
6,Contact% - 체인지업,,,,,,100.0,66.7,66.7,100.0,,33.3,100.0,100.0,66.7,100.0,50.0,60.0,66.7,85.7,100.0,0.0,14.3,62.5,50.0,
7,Contact% - 포크볼,,,,,100.0,,,100.0,,100.0,,,66.7,100.0,100.0,,50.0,66.7,100.0,100.0,0.0,50.0,40.0,66.7,100.0
8,Contact% - 우투,,75.0,23.1,30.8,16.7,83.3,65.4,59.1,55.6,90.0,84.6,66.7,73.8,86.7,92.9,73.7,68.8,72.7,85.7,90.9,6.3,31.6,61.9,85.7,50.0
9,Contact% - 좌투,,0.0,33.3,0.0,0.0,66.7,57.1,73.3,90.0,100.0,50.0,88.9,76.5,100.0,83.3,40.0,84.6,69.2,85.7,100.0,33.3,14.3,37.5,16.7,20.0
10,Contact% - 결정구,,40.0,33.3,33.3,50.0,85.7,55.6,80.0,80.0,100.0,63.6,72.7,69.2,90.9,87.5,78.6,80.0,81.3,100.0,100.0,16.7,41.7,73.3,62.5,100.0
11,Contact% - 카운트,,33.333,28.333,30.967,12.5,83.35,61.175,74.325,80.375,97.225,85.35,73.4,74.65,96.15,93.75,68.95,68.75,67.425,65.55,95.233,5.9,26.533,47.2,62.5,25.0
12,Contact% - 패스트볼,,35.0,29.4,31.3,0.0,83.35,63.333,62.5,71.733,93.75,91.667,73.55,85.0,96.9,80.3,83.35,77.767,54.15,88.9,83.333,100.0,100.0,50.0,100.0,0.0
