,컨택율,컨택율_1,컨택율_2,컨택율_3,컨택율_4,컨택율_5,컨택율_6,컨택율_7,컨택율_8,컨택율_9,컨택율_10,컨택율_11,컨택율_12,컨택율_13,컨택율_14,컨택율_15,컨택율_16,컨택율_17,컨택율_18,컨택율_19,컨택율_20,컨택율_21,컨택율_22,컨택율_23,컨택율_24,컨택율_25
0,Contact% - 전체,100.0,92.9,80.0,63.6,66.7,85.7,89.5,94.7,85.7,83.3,100.0,100.0,92.3,93.1,100.0,70.0,100.0,91.4,90.5,64.7,25.0,68.8,70.0,50.0,71.4
4,Contact% - 커브,100.0,,,,,100.0,,100.0,100.0,100.0,,100.0,,100.0,,,100.0,100.0,100.0,50.0,0.0,,0.0,100.0,0.0
5,Contact% - 슬라이더,,100.0,0.0,0.0,100.0,100.0,66.7,100.0,100.0,100.0,100.0,100.0,83.3,0.0,100.0,50.0,100.0,100.0,100.0,100.0,33.3,85.7,71.4,,0.0
6,Contact% - 체인지업,,,,100.0,,,,0.0,66.7,,,100.0,100.0,100.0,100.0,,,80.0,75.0,60.0,,75.0,100.0,100.0,100.0
7,Contact% - 포크볼,,,,,0.0,,100.0,,100.0,,,,,100.0,,,,100.0,75.0,100.0,,33.3,57.1,33.3,100.0
8,Contact% - 우투,100.0,88.9,92.9,55.6,66.7,80.0,83.3,100.0,83.3,80.0,100.0,100.0,94.7,96.0,100.0,77.8,100.0,90.0,85.7,69.2,25.0,64.3,73.3,55.6,100.0
9,Contact% - 좌투,,100.0,50.0,100.0,,100.0,100.0,50.0,100.0,,100.0,100.0,83.3,66.7,,0.0,100.0,90.9,100.0,50.0,,,50.0,,50.0
10,Contact% - 결정구,100.0,85.7,76.9,66.7,100.0,100.0,83.3,100.0,85.7,75.0,100.0,100.0,100.0,100.0,100.0,75.0,100.0,100.0,85.7,62.5,33.3,62.5,63.6,71.4,50.0
11,Contact% - 카운트,100.0,95.0,85.175,70.85,66.667,88.9,90.825,95.0,90.175,83.333,100.0,100.0,96.15,94.35,100.0,80.35,100.0,93.55,94.725,81.25,16.667,71.65,77.1,22.233,87.5
12,Contact% - 패스트볼,100.0,95.0,69.1,37.5,100.0,87.5,96.667,100.0,83.3,75.0,100.0,100.0,97.633,96.45,100.0,75.0,100.0,96.067,100.0,58.333,,50.0,100.0,0.0,100.0
