,컨택율,컨택율_1,컨택율_2,컨택율_3,컨택율_4,컨택율_5,컨택율_6,컨택율_7,컨택율_8,컨택율_9,컨택율_10,컨택율_11,컨택율_12,컨택율_13,컨택율_14,컨택율_15,컨택율_16,컨택율_17,컨택율_18,컨택율_19,컨택율_20,컨택율_21,컨택율_22,컨택율_23,컨택율_24,컨택율_25
0,Contact% - 전체,100.0,94.4,79.4,61.1,33.3,93.3,97.8,96.4,90.9,81.5,81.5,92.7,98.1,97.6,73.1,72.2,85.2,87.1,92.8,80.0,26.7,57.1,77.3,68.6,20.0
4,Contact% - 커브,,,100.0,100.0,,100.0,66.7,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,66.7,50.0,100.0,0.0
5,Contact% - 슬라이더,,100.0,66.7,100.0,,83.3,100.0,100.0,87.5,100.0,83.3,76.9,100.0,100.0,25.0,100.0,83.3,75.0,88.9,75.0,14.3,66.7,84.6,41.7,12.5
6,Contact% - 체인지업,,,100.0,,,,100.0,100.0,100.0,100.0,66.7,66.7,91.7,90.0,100.0,100.0,75.0,100.0,88.9,80.0,0.0,50.0,83.3,83.3,50.0
7,Contact% - 포크볼,,,100.0,,,,,100.0,75.0,66.7,,100.0,100.0,100.0,100.0,,66.7,75.0,100.0,50.0,100.0,100.0,70.0,71.4,33.3
8,Contact% - 우투,100.0,87.5,83.3,50.0,33.3,80.0,100.0,97.5,90.7,75.0,81.8,96.8,96.9,97.8,100.0,80.0,90.7,90.9,97.1,72.7,23.1,62.5,76.9,80.0,25.0
9,Contact% - 좌투,100.0,100.0,75.0,75.0,,100.0,94.4,94.6,90.0,100.0,83.3,84.2,100.0,96.7,40.0,62.5,75.0,76.2,85.2,82.4,,40.0,76.5,36.4,10.0
10,Contact% - 결정구,100.0,100.0,75.0,60.0,50.0,100.0,92.3,100.0,80.8,94.4,88.9,100.0,100.0,100.0,66.7,66.7,91.3,85.7,100.0,89.5,30.0,66.7,87.5,81.0,28.6
11,Contact% - 카운트,100.0,95.233,85.175,68.067,33.3,93.333,98.225,97.5,93.75,71.533,86.925,95.6,98.575,98.425,72.2,71.667,89.1,90.6,89.65,86.5,26.1,70.0,77.133,52.075,16.667
12,Contact% - 패스트볼,100.0,96.65,65.4,53.55,33.3,100.0,100.0,92.767,96.667,76.2,66.667,100.0,99.4,99.033,88.9,61.667,84.8,77.767,91.733,100.0,100.0,33.35,77.1,100.0,
