,컨택율,컨택율_1,컨택율_2,컨택율_3,컨택율_4,컨택율_5,컨택율_6,컨택율_7,컨택율_8,컨택율_9,컨택율_10,컨택율_11,컨택율_12,컨택율_13,컨택율_14,컨택율_15,컨택율_16,컨택율_17,컨택율_18,컨택율_19,컨택율_20,컨택율_21,컨택율_22,컨택율_23,컨택율_24,컨택율_25
0,Contact% - 전체,70.6,66.7,55.3,55.6,,89.3,97.6,91.0,86.4,71.4,94.7,98.4,93.8,92.4,86.4,81.3,87.0,89.8,87.5,68.8,37.5,42.3,58.3,48.1,16.7
4,Contact% - 커브,,,100.0,0.0,,100.0,100.0,100.0,100.0,50.0,50.0,100.0,62.5,100.0,100.0,100.0,90.0,87.5,80.0,40.0,0.0,50.0,40.0,66.7,50.0
5,Contact% - 슬라이더,0.0,,75.0,100.0,,100.0,100.0,81.8,100.0,100.0,100.0,100.0,100.0,100.0,50.0,40.0,70.0,83.3,100.0,66.7,25.0,28.6,50.0,42.9,14.3
6,Contact% - 체인지업,,50.0,100.0,,,,100.0,50.0,100.0,100.0,100.0,100.0,100.0,88.9,100.0,100.0,100.0,85.7,81.8,100.0,100.0,100.0,75.0,60.0,0.0
7,Contact% - 포크볼,,100.0,100.0,,,,,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,,71.4,91.7,72.7,,,33.3,38.9,12.5,0.0
8,Contact% - 우투,100.0,70.6,41.9,33.3,,88.2,96.3,95.2,90.7,70.0,90.9,100.0,95.3,90.0,84.6,70.0,82.9,92.3,85.7,80.0,37.5,43.5,56.5,40.0,0.0
9,Contact% - 좌투,61.5,61.5,90.0,100.0,,88.9,100.0,79.2,76.5,100.0,100.0,100.0,91.1,95.0,83.3,100.0,100.0,77.3,92.6,63.6,,50.0,44.4,58.3,22.2
10,Contact% - 결정구,60.0,50.0,61.1,66.7,,100.0,91.7,88.9,95.8,83.3,100.0,100.0,90.3,100.0,88.9,100.0,88.9,100.0,93.5,88.9,60.0,50.0,64.5,61.5,25.0
11,Contact% - 카운트,71.1,76.6,66.475,55.567,,92.175,96.425,93.5,89.05,74.6,95.833,98.95,91.85,94.275,60.6,78.067,82.425,85.75,82.825,46.95,33.333,43.1,61.05,44.2,13.1
12,Contact% - 패스트볼,59.533,34.0,44.433,41.667,,87.733,98.667,91.5,75.7,57.1,100.0,100.0,91.5,95.733,40.0,100.0,100.0,97.933,81.467,100.0,100.0,100.0,100.0,100.0,
