컨택율,컨택율_1,컨택율_2,컨택율_3,컨택율_4,컨택율_5,컨택율_6,컨택율_7,컨택율_8,컨택율_9,컨택율_10,컨택율_11,컨택율_12,컨택율_13,컨택율_14,컨택율_15,컨택율_16,컨택율_17,컨택율_18,컨택율_19,컨택율_20,컨택율_21,컨택율_22,컨택율_23,컨택율_24,컨택율_25
전체,66.7,85.7,84.6,80.0,,83.3,90.0,90.0,88.9,100.0,92.3,96.2,97.5,90.0,80.0,100.0,92.0,85.3,95.0,66.7,100.0,65.0,76.5,91.7,50.0
커브,,,,,,,100.0,100.0,100.0,,,100.0,,100.0,100.0,,100.0,50.0,100.0,,,0.0,100.0,100.0,100.0
슬라이더,,100.0,0.0,100.0,,0.0,66.7,87.5,0.0,100.0,80.0,100.0,100.0,50.0,,100.0,66.7,87.5,100.0,33.3,100.0,62.5,66.7,,0.0
체인지업,,,,,,,,0.0,100.0,100.0,,,100.0,100.0,,,,75.0,,100.0,,0.0,100.0,80.0,100.0
포크볼,,,,,,,,,100.0,100.0,,100.0,100.0,100.0,100.0,,100.0,100.0,80.0,100.0,,100.0,66.7,100.0,
우투,,83.3,88.9,100.0,,100.0,85.7,95.5,94.4,100.0,90.9,95.0,96.2,90.0,100.0,100.0,89.5,95.7,88.9,100.0,100.0,66.7,76.9,88.9,
좌투,50.0,,75.0,,,66.7,100.0,83.3,60.0,100.0,100.0,100.0,100.0,85.7,100.0,100.0,100.0,57.1,100.0,33.3,,100.0,75.0,100.0,50.0
결정구,50.0,83.3,60.0,75.0,,80.0,85.7,100.0,92.3,100.0,75.0,100.0,90.0,77.8,100.0,100.0,100.0,76.9,100.0,66.7,100.0,75.0,62.5,90.0,66.7
카운트,66.667,88.9,88.1,88.9,,88.9,89.633,93.325,83.55,100.0,93.75,97.225,97.925,94.45,50.0,100.0,93.65,80.025,96.875,58.333,100.0,72.925,84.433,88.9,50.0
패스트볼,66.7,83.3,91.7,66.7,,100.0,97.433,97.35,96.667,100.0,100.0,66.667,98.9,100.0,66.7,100.0,88.9,93.933,100.0,,100.0,75.0,80.0,100.0,
