컨택율,컨택율_1,컨택율_2,컨택율_3,컨택율_4,컨택율_5,컨택율_6,컨택율_7,컨택율_8,컨택율_9,컨택율_10,컨택율_11,컨택율_12,컨택율_13,컨택율_14,컨택율_15,컨택율_16,컨택율_17,컨택율_18,컨택율_19,컨택율_20,컨택율_21,컨택율_22,컨택율_23,컨택율_24,컨택율_25
전체,0.0,33.3,57.7,33.3,75.0,100.0,75.0,58.5,64.0,57.1,90.9,86.0,90.4,84.2,81.3,72.2,91.5,89.3,80.0,60.6,50.0,50.0,49.1,61.3,38.1
커브,,,,,,,100.0,50.0,100.0,,75.0,100.0,85.7,100.0,100.0,50.0,75.0,100.0,100.0,100.0,100.0,66.7,62.5,83.3,0.0
슬라이더,,,100.0,,,100.0,85.7,72.7,66.7,,100.0,75.0,91.7,100.0,,71.4,92.3,90.9,81.5,37.5,0.0,37.5,76.9,50.0,30.0
체인지업,,,,,100.0,,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,66.7,100.0,100.0,75.0,71.4,40.0,,50.0,16.7,61.1,33.3
포크볼,,,100.0,,,100.0,,,100.0,,,100.0,100.0,100.0,100.0,100.0,100.0,85.7,75.0,71.4,100.0,0.0,38.9,50.0,50.0
우투,,50.0,44.4,25.0,75.0,100.0,75.0,50.0,60.6,77.8,94.1,93.3,86.5,81.0,81.8,72.7,92.7,87.7,74.3,60.0,50.0,51.5,39.4,69.7,44.4
좌투,0.0,0.0,100.0,100.0,,100.0,70.6,75.0,78.6,25.0,66.7,73.3,100.0,90.0,66.7,66.7,92.9,90.6,83.9,60.0,,50.0,78.6,54.5,33.3
결정구,0.0,57.1,80.0,25.0,100.0,100.0,80.0,60.0,78.3,63.6,75.0,83.3,97.2,93.8,90.0,66.7,78.6,96.6,91.7,70.6,100.0,54.5,66.7,74.1,45.5
카운트,0.0,27.767,42.875,58.333,87.5,100.0,56.075,60.15,57.575,59.533,96.15,87.05,91.35,81.15,86.425,80.0,93.45,89.675,81.85,58.825,54.175,61.175,47.933,68.575,26.675
패스트볼,0.0,33.3,75.0,33.3,66.7,100.0,88.333,67.233,56.8,75.0,66.667,52.433,90.933,85.35,88.9,55.567,96.567,96.467,92.067,38.9,,100.0,75.0,66.667,100.0
