,컨택율,컨택율_1,컨택율_2,컨택율_3,컨택율_4,컨택율_5,컨택율_6,컨택율_7,컨택율_8,컨택율_9,컨택율_10,컨택율_11,컨택율_12,컨택율_13,컨택율_14,컨택율_15,컨택율_16,컨택율_17,컨택율_18,컨택율_19,컨택율_20,컨택율_21,컨택율_22,컨택율_23,컨택율_24,컨택율_25
0,Contact% - 전체,50.0,80.0,75.0,63.6,100.0,90.9,78.0,84.7,94.3,72.2,100.0,93.0,86.5,82.9,87.9,92.9,93.8,88.9,86.3,78.3,85.7,81.1,75.7,69.6,53.8
4,Contact% - 커브,,100.0,,0.0,,,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,,100.0,87.5,100.0,80.0,100.0,,100.0,80.0,25.0,
5,Contact% - 슬라이더,,,50.0,,100.0,100.0,80.0,81.8,100.0,0.0,100.0,81.8,71.4,92.9,100.0,100.0,92.3,87.1,87.5,88.9,88.9,66.7,81.3,68.2,37.5
6,Contact% - 체인지업,,,,,,,,66.7,83.3,75.0,100.0,100.0,83.3,100.0,87.5,,100.0,88.2,71.4,25.0,,83.3,75.0,73.3,75.0
7,Contact% - 포크볼,,,100.0,,,,0.0,100.0,100.0,100.0,100.0,,87.5,80.0,75.0,,100.0,90.0,100.0,100.0,0.0,50.0,43.8,57.1,80.0
8,Contact% - 우투,0.0,87.5,77.4,62.5,100.0,80.0,76.7,90.9,90.9,81.3,100.0,100.0,88.5,85.7,87.0,88.9,97.8,89.0,90.0,62.5,85.7,84.8,63.6,66.7,77.8
9,Contact% - 좌투,100.0,50.0,71.4,66.7,100.0,100.0,80.0,70.8,100.0,0.0,100.0,82.4,83.3,75.0,100.0,100.0,75.0,85.2,76.9,92.9,,50.0,96.0,74.1,37.5
10,Contact% - 결정구,60.0,71.4,82.6,62.5,100.0,85.7,70.0,78.6,90.6,62.5,100.0,85.7,81.3,88.0,81.3,100.0,91.3,88.6,91.2,66.7,75.0,85.0,86.0,78.1,61.5
11,Contact% - 카운트,66.667,88.9,73.233,68.9,100.0,93.333,75.967,82.75,95.675,73.6,100.0,94.7,84.625,87.025,87.7,93.75,95.8,92.45,89.575,82.15,90.467,83.333,67.975,70.933,54.6
12,Contact% - 패스트볼,50.0,66.65,88.25,70.0,100.0,92.85,40.9,94.667,85.85,85.0,100.0,95.233,93.0,66.2,79.5,83.333,88.9,94.933,93.933,66.667,100.0,100.0,100.0,100.0,100.0
