,타율,타율_1,타율_2,타율_3,타율_4,타율_5,타율_6,타율_7,타율_8,타율_9,타율_10,타율_11,타율_12,타율_13,타율_14,타율_15,타율_16,타율_17,타율_18,타율_19,타율_20,타율_21,타율_22,타율_23,타율_24,타율_25
0,타율 - 전체,,0.25,0.0,0.0,0.0,0.25,0.0,0.571,0.0,0.2,0.286,0.222,0.286,0.364,0.231,0.308,0.31,0.35,0.615,0.333,0.0,0.2,0.182,0.0,
4,타율 - 커브,,,,,,,,0.0,,0.0,0.0,0.5,0.25,,,0.667,0.25,0.0,1.0,,0.0,1.0,0.5,0.0,
5,타율 - 슬라이더,,1.0,,,0.0,0.5,0.0,0.667,0.0,,0.333,0.333,0.333,1.0,0.5,0.0,0.5,0.25,0.667,,0.0,0.0,0.0,0.0,
6,타율 - 체인지업,,,,,,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.5,0.25,0.0,0.5,,0.0,0.0,0.5,,
7,타율 - 포크볼,,,,,,,,1.0,,,,,0.0,,0.0,,1.0,1.0,,,,0.5,0.0,,
8,타율 - 우투,,1.0,0.0,0.0,0.0,0.5,0.0,0.556,0.0,0.25,0.364,0.308,0.278,0.429,0.222,0.429,0.4,0.357,0.571,0.0,0.0,0.286,0.167,0.0,
9,타율 - 좌투,,0.0,0.0,0.0,,0.0,0.0,0.5,,,0.0,0.0,0.143,0.0,0.25,0.25,0.0,0.2,0.75,1.0,0.0,0.0,0.2,0.0,
10,타율 - 결정구,,0.25,0.0,0.0,0.0,0.333,0.0,0.429,0.0,0.0,0.222,0.222,0.2,0.25,0.0,0.2,0.231,0.222,0.375,,0.0,0.111,0.25,0.0,
11,타율 - 카운트,,0.167,0.0,0.0,0.0,0.25,0.0,0.579,0.0,0.1,0.194,0.11,0.288,0.584,0.175,0.509,0.215,0.506,0.6,0.5,0.0,0.238,0.133,0.0,
12,타율 - 패스트볼,,0.0,0.0,0.0,,0.0,0.0,0.4,0.0,0.166,0.375,0.143,0.166,0.214,0.056,0.25,0.208,0.5,0.6,0.333,0.0,,0.0,0.0,
