,타율,타율_1,타율_2,타율_3,타율_4,타율_5,타율_6,타율_7,타율_8,타율_9,타율_10,타율_11,타율_12,타율_13,타율_14,타율_15,타율_16,타율_17,타율_18,타율_19,타율_20,타율_21,타율_22,타율_23,타율_24,타율_25
0,타율 - 전체,0.0,0.167,0.0,0.4,,0.0,0.222,0.1,0.385,0.25,0.25,0.417,0.154,0.385,0.0,0.0,0.4,0.304,0.133,0.333,0.0,0.125,0.091,0.0,0.0
4,타율 - 커브,0.0,,,,,,,0.0,,0.0,,,,,,,,0.0,,0.0,0.0,,0.0,,
5,타율 - 슬라이더,,1.0,,,,,,0.0,0.333,1.0,0.333,0.0,0.0,,,0.0,0.5,0.0,0.0,,0.0,0.0,0.0,,0.0
6,타율 - 체인지업,,,,0.0,,,0.0,,0.0,,,1.0,0.0,0.0,0.0,,,0.667,0.0,0.0,,0.5,,0.0,0.0
7,타율 - 포크볼,,,,,,,1.0,,,,,,,0.75,,,,0.0,0.0,,,0.0,0.25,0.0,0.0
8,타율 - 우투,0.0,0.0,0.0,0.25,,0.0,0.25,0.0,0.4,0.25,0.167,0.444,0.2,0.333,0.0,0.0,0.5,0.467,0.0,0.5,0.0,0.143,0.0,0.0,0.0
9,타율 - 좌투,,0.0,0.0,1.0,,,,0.0,0.333,,0.5,0.0,0.0,,,,0.0,0.0,0.5,0.0,,,0.0,,0.0
10,타율 - 결정구,0.0,0.0,0.0,0.333,,,0.167,0.0,0.5,0.0,0.2,0.333,0.0,0.286,,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.1,0.0,0.0
11,타율 - 카운트,0.0,0.166,0.0,0.222,,0.0,0.167,0.167,0.533,0.333,0.188,0.56,0.072,0.389,0.0,0.0,0.416,0.287,0.328,0.389,0.0,0.166,0.125,0.0,0.0
12,타율 - 패스트볼,0.0,0.0,0.0,0.5,,0.0,0.084,0.125,0.444,0.0,0.125,0.222,0.562,0.4,,0.0,0.25,0.288,0.666,0.5,,,,,0.0
