타율,타율_1,타율_2,타율_3,타율_4,타율_5,타율_6,타율_7,타율_8,타율_9,타율_10,타율_11,타율_12,타율_13,타율_14,타율_15,타율_16,타율_17,타율_18,타율_19,타율_20,타율_21,타율_22,타율_23,타율_24,타율_25
전체,0.2,0.2,0.176,0.0,,0.333,0.478,0.391,0.455,0.286,0.444,0.385,0.357,0.444,0.143,0.0,0.308,0.373,0.396,0.25,0.333,0.0,0.25,0.267,0.0
커브,,,,0.0,,,0.0,0.25,0.0,0.0,,0.0,0.2,0.667,0.0,,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0
슬라이더,0.0,,0.333,0.0,,,0.667,0.286,1.0,1.0,0.0,0.444,0.25,0.667,0.0,,0.5,0.286,0.333,0.333,,0.0,0.3,0.4,0.0
체인지업,,0.0,1.0,,,,0.667,0.333,0.667,0.5,0.5,0.333,0.444,0.25,0.0,,0.333,0.5,0.235,0.0,1.0,0.0,0.167,0.25,0.0
포크볼,,1.0,,,,,,0.5,0.667,0.0,,0.333,0.2,0.286,0.5,,0.6,0.167,0.667,,,0.0,0.222,0.0,0.0
우투,1.0,0.167,0.0,0.0,,0.286,0.5,0.471,0.636,0.25,0.5,0.429,0.381,0.409,0.2,,0.4,0.368,0.483,0.0,0.333,0.0,0.296,0.167,0.0
좌투,0.0,0.25,0.5,0.0,,0.5,0.25,0.182,0.25,0.5,0.4,0.375,0.28,0.455,0.0,0.0,0.0,0.385,0.278,0.4,,0.0,0.0,0.333,0.0
결정구,0.0,0.0,0.0,0.0,,0.25,0.111,0.278,0.545,0.286,0.8,0.333,0.273,0.417,0.167,,0.125,0.32,0.36,0.167,0.333,0.0,0.208,0.273,0.0
카운트,0.167,0.322,0.222,0.0,,0.244,0.471,0.414,0.409,0.166,0.361,0.394,0.432,0.417,0.143,0.0,0.476,0.284,0.306,0.334,0.5,0.0,0.281,0.241,0.0
패스트볼,0.166,0.072,0.03,0.0,,0.429,0.481,0.403,0.367,0.0,0.375,0.158,0.262,0.628,0.0,0.0,0.2,0.327,0.818,0.5,,0.0,0.666,0.5,
