타율,타율_1,타율_2,타율_3,타율_4,타율_5,타율_6,타율_7,타율_8,타율_9,타율_10,타율_11,타율_12,타율_13,타율_14,타율_15,타율_16,타율_17,타율_18,타율_19,타율_20,타율_21,타율_22,타율_23,타율_24,타율_25
전체,0.0,0.5,0.25,0.5,,0.0,0.167,0.333,0.4,0.4,0.0,0.438,0.381,0.385,,0.5,0.182,0.278,0.182,0.0,,0.2,0.286,0.4,0.5
커브,,,,,,,0.0,0.0,0.0,,,0.0,,0.0,,,1.0,0.0,,,,0.0,1.0,1.0,
슬라이더,,,0.0,,,0.0,0.0,0.4,0.0,,0.0,0.25,0.25,0.0,,0.0,0.0,0.25,0.0,0.0,,0.333,0.0,,0.0
체인지업,,,,,,,,,,,0.0,,1.0,,,,,0.0,,0.0,,,0.0,0.2,1.0
포크볼,,,,,,,,,,1.0,,0.5,,0.5,,,0.0,0.0,0.333,0.0,,0.0,0.0,0.667,
우투,,0.0,0.333,1.0,,,0.222,0.3,0.333,0.25,0.0,0.385,0.429,0.286,,0.5,0.125,0.417,0.5,0.0,,0.0,0.2,0.5,
좌투,0.0,,0.0,,,0.0,0.0,0.25,0.0,1.0,,0.667,0.2,0.75,,,0.333,0.0,0.125,0.0,,1.0,0.5,0.0,0.5
결정구,0.0,0.5,0.333,0.5,,0.0,0.25,0.0,0.4,0.333,0.0,0.6,0.333,0.286,,0.6,0.0,0.0,0.222,0.0,,0.0,0.0,0.375,0.5
카운트,0.0,0.5,0.25,0.5,,0.0,0.167,0.456,0.558,0.458,0.0,0.429,0.519,0.476,,0.3,0.146,0.199,0.095,0.0,,0.333,0.35,0.333,0.5
패스트볼,0.0,0.5,0.333,0.5,,,0.389,0.375,0.286,0.25,0.0,0.312,0.375,0.5,,0.75,0.084,0.533,0.5,0.0,,,0.333,0.0,
