,타율,타율_1,타율_2,타율_3,타율_4,타율_5,타율_6,타율_7,타율_8,타율_9,타율_10,타율_11,타율_12,타율_13,타율_14,타율_15,타율_16,타율_17,타율_18,타율_19,타율_20,타율_21,타율_22,타율_23,타율_24,타율_25
0,타율 - 전체,0.0,0.0,0.3,0.0,1.0,0.0,0.235,0.179,0.263,0.0,0.364,0.182,0.351,0.25,0.2,0.333,0.441,0.313,0.357,0.071,0.5,0.125,0.261,0.185,0.1
4,타율 - 커브,,,,,,,0.0,0.0,,,0.667,0.0,0.667,0.375,,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.5,0.25,
5,타율 - 슬라이더,,,1.0,,,,0.5,0.286,0.25,0.0,1.0,0.167,0.429,0.125,,,0.286,0.4,0.375,0.0,,0.0,0.25,0.2,0.0
6,타율 - 체인지업,,,,,1.0,,,0.0,0.333,,,0.0,0.25,0.286,0.5,,0.333,0.4,0.667,0.0,,,0.2,0.0,0.0
7,타율 - 포크볼,,,0.0,,,,,,0.667,,,,0.222,0.0,0.0,,0.75,0.0,0.0,0.5,0.0,0.0,0.167,0.0,0.0
8,타율 - 우투,,0.0,0.0,0.0,1.0,0.0,0.333,0.158,0.333,,0.375,0.136,0.275,0.211,0.25,0.0,0.5,0.325,0.333,0.167,0.5,0.143,0.182,0.143,0.0
9,타율 - 좌투,0.0,0.0,0.75,0.0,,0.0,0.143,0.222,0.167,0.0,0.5,0.3,0.462,0.25,0.0,1.0,0.286,0.25,0.35,0.0,,0.0,0.429,0.222,0.167
10,타율 - 결정구,0.0,0.0,0.286,0.0,,0.0,0.111,0.118,0.235,0.0,0.0,0.0,0.286,0.208,0.25,0.5,0.143,0.391,0.133,0.0,,0.0,0.188,0.118,0.0
11,타율 - 카운트,0.0,0.0,0.467,0.0,1.0,0.0,0.233,0.138,0.483,0.0,0.65,0.118,0.338,0.466,0.167,0.333,0.354,0.283,0.43,0.3,0.667,0.328,0.292,0.272,0.333
12,타율 - 패스트볼,0.0,0.0,0.1,0.0,,0.0,0.116,0.094,0.111,0.0,0.067,0.083,0.341,0.15,0.0,0.5,0.706,0.298,0.476,0.0,,1.0,0.25,0.5,1.0
