,타율,타율_1,타율_2,타율_3,타율_4,타율_5,타율_6,타율_7,타율_8,타율_9,타율_10,타율_11,타율_12,타율_13,타율_14,타율_15,타율_16,타율_17,타율_18,타율_19,타율_20,타율_21,타율_22,타율_23,타율_24,타율_25
0,타율 - 전체,0.0,0.25,0.143,0.0,0.0,0.0,0.154,0.313,0.25,0.222,0.333,0.4,0.245,0.282,0.313,0.25,0.241,0.288,0.386,0.176,0.0,0.111,0.303,0.25,0.0
4,타율 - 커브,,,0.0,0.0,,,0.0,,0.0,,,1.0,0.333,0.333,,,0.0,0.25,0.0,0.5,,,0.4,0.0,
5,타율 - 슬라이더,,,0.5,,,,0.667,0.167,0.4,0.0,1.0,0.143,0.231,0.222,0.0,0.0,0.286,0.214,0.4,0.167,0.0,0.0,0.143,0.143,0.0
6,타율 - 체인지업,,,,,,,,0.0,0.0,0.0,,1.0,0.429,0.2,0.4,,0.0,0.125,0.5,0.0,,0.5,0.5,0.2,0.0
7,타율 - 포크볼,,,0.0,,,,0.0,,0.0,0.0,,,0.667,0.2,0.5,,1.0,0.5,0.545,,0.0,0.0,0.143,0.4,0.0
8,타율 - 우투,0.0,0.333,0.133,0.0,,0.0,0.0,0.438,0.286,0.25,0.333,0.444,0.267,0.2,0.333,0.333,0.286,0.324,0.448,0.25,0.0,0.125,0.278,0.286,0.0
9,타율 - 좌투,,0.0,0.167,0.0,0.0,0.0,0.5,0.214,0.143,0.0,,0.3,0.19,0.417,0.5,0.0,0.25,0.133,0.154,0.167,,0.0,0.273,0.2,0.0
10,타율 - 결정구,0.0,0.25,0.067,0.0,0.0,0.0,0.222,0.357,0.316,0.0,0.5,0.5,0.2,0.222,0.143,,0.25,0.261,0.28,0.1,0.0,0.2,0.174,0.133,0.0
11,타율 - 카운트,0.0,0.166,0.097,0.0,0.0,0.0,0.111,0.357,0.257,0.167,0.333,0.536,0.192,0.479,0.329,0.125,0.188,0.409,0.292,0.159,0.0,0.333,0.253,0.344,0.0
12,타율 - 패스트볼,0.0,0.25,0.125,0.0,0.0,0.0,0.0,0.449,0.292,0.5,0.0,0.333,0.267,0.344,0.143,0.333,0.136,0.295,0.436,0.083,,0.0,0.643,0.4,0.0
