스윙율,스윙율_1,스윙율_2,스윙율_3,스윙율_4,스윙율_5,스윙율_6,스윙율_7,스윙율_8,스윙율_9,스윙율_10,스윙율_11,스윙율_12,스윙율_13,스윙율_14,스윙율_15,스윙율_16,스윙율_17,스윙율_18,스윙율_19,스윙율_20,스윙율_21,스윙율_22,스윙율_23,스윙율_24,스윙율_25
전체,0.0,30.8,44.7,47.1,26.7,34.5,74.0,71.7,72.7,50.0,32.2,60.0,81.8,88.9,65.6,50.0,78.7,84.2,69.4,42.2,27.3,43.3,53.4,44.1,31.8
커브,0.0,,0.0,0.0,0.0,0.0,50.0,25.0,50.0,50.0,20.0,80.0,80.0,100.0,50.0,60.0,75.0,100.0,40.0,33.3,33.3,66.7,55.6,60.0,60.0
슬라이더,0.0,25.0,0.0,,25.0,66.7,58.8,69.2,60.0,0.0,50.0,20.0,76.9,100.0,60.0,56.5,86.4,94.1,71.4,40.0,34.1,60.0,66.7,55.6,22.2
체인지업,0.0,0.0,,,0.0,50.0,100.0,75.0,33.3,,30.0,75.0,83.3,100.0,66.7,100.0,83.3,100.0,87.5,50.0,33.3,50.0,61.5,33.3,0.0
포크볼,,,0.0,,100.0,,,100.0,0.0,100.0,,,100.0,100.0,100.0,,66.7,100.0,50.0,100.0,25.0,50.0,71.4,100.0,100.0
우투,0.0,33.3,46.4,46.4,25.0,42.9,72.2,81.5,64.3,66.7,36.1,56.3,85.7,88.2,70.0,47.5,76.2,80.5,73.7,47.8,27.6,40.4,52.5,43.8,66.7
좌투,0.0,33.3,37.5,50.0,33.3,25.0,70.0,71.4,90.9,16.7,30.8,81.8,81.0,85.7,85.7,62.5,81.3,92.9,58.3,37.5,30.0,58.3,53.3,40.0,31.3
결정구,0.0,41.7,46.2,81.8,33.3,63.6,100.0,90.9,90.9,66.7,52.4,78.6,100.0,100.0,72.7,58.3,88.2,100.0,100.0,85.7,42.9,54.5,78.9,80.0,33.3
카운트,0.0,22.975,33.35,37.8,32.575,26.433,74.6,70.85,71.225,57.75,29.0,64.95,87.075,91.975,75.375,54.6,73.675,80.325,61.125,36.0,15.025,32.925,47.8,47.375,20.825
패스트볼,0.0,64.7,22.667,29.65,18.75,28.2,79.0,41.4,83.967,51.65,46.333,52.05,62.967,62.967,61.833,20.833,82.233,49.233,57.55,54.467,2.367,2.567,22.5,7.4,25.0
