타율,타율_1,타율_2,타율_3,타율_4,타율_5,타율_6,타율_7,타율_8,타율_9,타율_10,타율_11,타율_12,타율_13,타율_14,타율_15,타율_16,타율_17,타율_18,타율_19,타율_20,타율_21,타율_22,타율_23,타율_24,타율_25
전체,1.0,0.5,0.273,0.0,0.0,0.2,0.29,0.396,0.324,0.5,0.111,0.481,0.324,0.375,0.125,0.0,0.577,0.222,0.415,0.286,0.125,0.125,0.294,0.3,0.0
커브,,,,,,1.0,0.5,0.143,0.0,,,0.0,0.0,0.4,0.0,,0.667,0.333,0.333,1.0,0.5,0.0,0.0,,0.0
슬라이더,,,0.667,0.0,0.0,0.0,0.25,0.444,0.5,,0.5,0.143,0.364,0.429,0.0,,0.5,0.143,0.75,0.4,0.0,0.0,0.429,0.25,0.0
체인지업,,,,,,,0.0,0.2,0.6,0.0,,,0.5,0.667,0.25,,,0.2,0.0,0.0,0.0,0.333,0.0,0.429,0.0
포크볼,,,0.0,,,,,0.2,0.333,1.0,,1.0,0.0,0.2,0.0,,0.5,,0.5,0.0,,,0.333,0.0,0.0
우투,1.0,,0.0,0.0,0.0,0.25,0.353,0.292,0.36,0.6,0.333,0.471,0.298,0.391,0.0,,0.591,0.174,0.4,0.167,0.143,0.2,0.25,0.273,0.0
좌투,,0.5,0.25,0.0,,0.0,0.182,0.48,0.143,,0.0,0.571,0.381,0.2,0.143,0.0,0.5,0.3,0.429,0.286,,0.0,0.5,0.286,0.0
결정구,1.0,0.333,0.143,0.0,0.0,0.0,0.273,0.462,0.25,0.4,0.0,0.4,0.25,0.316,0.154,0.0,0.615,0.143,0.286,0.182,0.0,0.0,0.167,0.313,0.0
카운트,1.0,0.5,0.222,0.0,0.0,0.233,0.193,0.538,0.321,0.75,0.083,0.58,0.295,0.45,0.095,0.0,0.574,0.164,0.44,0.389,0.083,0.067,0.313,0.208,0.0
패스트볼,1.0,0.334,0.143,0.0,0.0,0.25,0.13,0.347,0.139,0.666,0.0,0.667,0.239,0.239,0.2,0.0,0.528,0.296,0.205,0.125,,0.0,0.333,0.5,
