ops,ops_1,ops_2,ops_3,ops_4,ops_5,ops_6,ops_7,ops_8,ops_9,ops_10,ops_11,ops_12,ops_13,ops_14,ops_15,ops_16,ops_17,ops_18,ops_19,ops_20,ops_21,ops_22,ops_23,ops_24,ops_25
전체,0.857,0.0,0.539,2.333,,0.25,1.148,1.021,0.87,0.958,0.619,1.143,0.875,0.756,0.801,0.167,1.404,0.637,0.814,0.844,0.8,1.083,0.438,0.3,0.333
커브,,,,,,,1.5,2.4,5.0,,,,3.0,0.0,,0.0,2.0,,2.0,,0.5,,0.0,0.0,
슬라이더,,0.0,,,,,1.166,0.917,0.0,,1.5,1.5,1.375,0.0,1.75,0.0,1.364,0.7,0.847,1.0,,,0.0,0.0,0.0
체인지업,,,,,,,,0.0,1.0,,0.0,,1.0,1.8,1.0,,1.0,1.0,0.666,,,2.0,0.6,0.0,0.0
포크볼,,,,,,,,0.666,0.0,1.0,,5.0,0.0,0.286,0.0,,2.0,0.0,0.0,0.0,,0.667,0.0,0.5,
우투,,0.0,0.7,2.5,,0.5,0.765,0.818,0.833,0.904,1.267,1.333,0.546,0.786,0.875,0.0,1.764,0.65,0.923,0.25,0.8,1.0,0.4,0.429,0.0
좌투,0.833,0.0,0.4,2.0,,0.0,2.25,1.318,0.6,,0.0,0.857,1.143,0.222,0.829,0.0,0.536,0.5,0.714,1.25,,,,0.0,0.5
결정구,,0.0,0.347,2.5,,,0.572,0.8,0.833,0.75,0.619,1.5,1.375,0.364,0.786,0.167,1.0,0.715,0.75,0.715,0.667,0.6,0.444,0.3,0.333
카운트,0.75,0.0,0.457,2.167,,0.0,0.881,0.76,0.883,0.666,0.722,1.458,0.652,0.783,0.552,0.25,1.03,0.408,0.977,0.922,0.8,0.667,0.259,0.167,0.0
패스트볼,0.667,0.0,0.49,2.333,,0.25,0.618,0.972,0.834,0.75,0.2,0.628,0.574,0.811,0.492,0.333,2.944,0.25,1.778,1.625,,0.0,0.667,,
