컨택율,컨택율_1,컨택율_2,컨택율_3,컨택율_4,컨택율_5,컨택율_6,컨택율_7,컨택율_8,컨택율_9,컨택율_10,컨택율_11,컨택율_12,컨택율_13,컨택율_14,컨택율_15,컨택율_16,컨택율_17,컨택율_18,컨택율_19,컨택율_20,컨택율_21,컨택율_22,컨택율_23,컨택율_24,컨택율_25
전체,66.7,75.0,63.9,64.7,,90.0,95.7,93.3,83.3,75.0,76.5,100.0,98.6,92.1,80.0,50.0,77.3,78.7,77.5,52.9,16.7,30.8,50.0,26.1,33.3
커브,,,100.0,,,,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,,0.0,57.1,100.0,100.0,100.0,0.0,0.0,50.0,0.0,
슬라이더,,100.0,100.0,,,100.0,100.0,86.7,83.3,0.0,100.0,100.0,100.0,100.0,75.0,50.0,92.3,72.7,80.0,42.9,0.0,40.0,53.8,22.2,0.0
체인지업,,,,,,0.0,0.0,100.0,100.0,100.0,100.0,100.0,87.5,100.0,66.7,,40.0,91.7,62.5,0.0,,33.3,50.0,50.0,100.0
포크볼,,,,100.0,,,,100.0,100.0,100.0,,100.0,100.0,87.5,60.0,,100.0,42.9,66.7,100.0,100.0,0.0,42.9,28.6,0.0
우투,,83.3,70.6,70.0,,100.0,96.0,91.7,80.6,75.0,90.0,100.0,100.0,95.3,75.0,50.0,72.0,78.8,81.8,50.0,20.0,36.4,50.0,38.5,50.0
좌투,66.7,50.0,62.5,50.0,,85.7,94.1,94.4,85.7,,57.1,100.0,100.0,92.9,87.5,,82.4,72.7,76.5,45.5,0.0,0.0,42.9,11.1,0.0
결정구,,85.7,57.1,100.0,,100.0,100.0,91.3,87.5,100.0,75.0,100.0,100.0,100.0,90.0,25.0,81.8,100.0,91.7,71.4,0.0,33.3,75.0,44.4,50.0
카운트,75.0,82.3,73.625,72.85,,91.65,96.525,90.175,83.5,65.625,72.233,100.0,98.925,90.475,88.175,75.0,75.925,84.55,86.075,65.825,12.5,30.825,50.0,25.167,25.0
패스트볼,66.7,83.35,58.1,62.5,,100.0,99.0,89.633,89.867,80.0,20.0,100.0,100.0,95.233,100.0,100.0,77.533,66.667,95.833,58.35,0.0,50.0,,0.0,
