타율,타율_1,타율_2,타율_3,타율_4,타율_5,타율_6,타율_7,타율_8,타율_9,타율_10,타율_11,타율_12,타율_13,타율_14,타율_15,타율_16,타율_17,타율_18,타율_19,타율_20,타율_21,타율_22,타율_23,타율_24,타율_25
전체,0.0,0.0,0.182,1.0,,0.0,0.444,0.396,0.261,0.333,0.143,0.429,0.325,0.341,0.286,0.0,0.5,0.273,0.37,0.333,0.0,0.333,0.0,0.0,0.0
커브,,,,,,,0.5,0.8,1.0,,,,1.0,0.0,,0.0,1.0,,1.0,,0.0,,0.0,0.0,
슬라이더,,0.0,,,,,0.333,0.417,0.0,,0.5,0.6,0.5,0.0,0.5,0.0,0.455,0.3,0.385,0.5,,,0.0,0.0,0.0
체인지업,,,,,,,,0.0,0.25,,0.0,,0.2,0.8,0.5,,0.333,0.444,0.333,,,1.0,0.0,0.0,0.0
포크볼,,,,,,,,0.333,0.0,0.5,,1.0,0.0,0.143,0.0,,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,
우투,,0.0,0.2,1.0,,0.0,0.294,0.318,0.25,0.333,0.333,0.476,0.182,0.357,0.375,0.0,0.588,0.25,0.385,0.0,0.0,0.333,0.0,0.0,0.0
좌투,0.0,0.0,0.2,1.0,,0.0,0.875,0.5,0.2,,0.0,0.357,0.5,0.111,0.2,0.0,0.286,0.25,0.357,0.5,,,,0.0,0.0
결정구,,0.0,0.125,1.0,,,0.286,0.333,0.25,0.0,0.167,0.571,0.5,0.182,0.286,0.0,0.273,0.286,0.333,0.286,0.0,0.0,0.0,0.0,0.0
카운트,0.0,0.0,0.175,1.0,,0.0,0.336,0.296,0.258,0.333,0.167,0.564,0.242,0.376,0.208,0.0,0.369,0.182,0.408,0.4,0.0,0.333,0.0,0.0,0.0
패스트볼,0.0,0.0,0.182,1.0,,0.0,0.264,0.444,0.292,0.0,0.0,0.204,0.222,0.383,0.125,0.0,0.792,0.1,0.722,0.5,,0.0,0.0,,
