ops,ops_1,ops_2,ops_3,ops_4,ops_5,ops_6,ops_7,ops_8,ops_9,ops_10,ops_11,ops_12,ops_13,ops_14,ops_15,ops_16,ops_17,ops_18,ops_19,ops_20,ops_21,ops_22,ops_23,ops_24,ops_25
전체,,0.334,0.476,0.25,,0.666,1.0,0.572,0.286,0.4,0.0,1.266,1.122,0.118,1.381,0.25,0.666,0.767,0.666,0.125,0.667,0.555,0.455,0.154,0.167
커브,,,,0.0,,,,2.0,,,,,1.75,0.0,2.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0
슬라이더,,0.0,,,,0.0,,,0.0,,,0.0,2.0,1.0,2.0,,1.0,1.0,0.8,0.0,0.5,0.0,0.0,0.5,0.0
체인지업,,,0.5,,,,,,1.0,0.0,,,,0.0,0.666,,,2.0,0.666,0.0,,0.0,0.0,0.0,
포크볼,,,0.0,,,,0.0,,0.0,2.0,,,0.5,0.0,2.0,,2.0,1.5,1.334,0.0,,0.0,1.0,0.0,0.0
우투,,1.0,0.476,0.25,,1.0,0.75,0.666,0.4,0.5,0.0,1.3,0.211,0.0,1.2,0.333,0.0,0.826,0.6,0.25,0.5,0.555,0.625,0.0,0.0
좌투,,0.0,,,,0.0,1.334,0.0,0.0,,,1.5,1.8,0.5,2.0,,2.0,0.572,1.0,0.0,,,0.0,0.25,0.2
결정구,,0.666,0.286,0.0,,1.0,0.6,0.0,0.0,0.666,,1.112,0.367,0.0,1.2,0.5,1.0,0.924,0.4,0.0,0.5,0.0,0.0,0.2,0.0
카운트,,0.25,0.5,0.0,,0.5,0.7,0.445,0.333,0.222,0.0,1.458,1.28,0.125,1.333,0.0,0.375,0.919,0.875,0.0,0.0,0.555,0.555,0.111,0.0
패스트볼,,0.4,0.533,0.333,,1.0,0.7,0.334,0.0,0.0,0.0,1.167,0.375,0.0,,0.0,0.2,0.709,0.25,0.166,,2.5,1.0,0.0,
