컨택율,컨택율_1,컨택율_2,컨택율_3,컨택율_4,컨택율_5,컨택율_6,컨택율_7,컨택율_8,컨택율_9,컨택율_10,컨택율_11,컨택율_12,컨택율_13,컨택율_14,컨택율_15,컨택율_16,컨택율_17,컨택율_18,컨택율_19,컨택율_20,컨택율_21,컨택율_22,컨택율_23,컨택율_24,컨택율_25
전체,100.0,71.4,58.8,50.0,100.0,100.0,100.0,79.3,75.8,85.7,100.0,100.0,92.5,81.8,70.0,53.8,84.2,93.6,82.9,73.3,20.0,44.4,45.2,45.0,14.3
커브,,,,,,,,100.0,,,100.0,100.0,100.0,100.0,100.0,100.0,50.0,100.0,100.0,,0.0,0.0,33.3,33.3,0.0
슬라이더,,100.0,,,,100.0,100.0,100.0,50.0,,100.0,100.0,90.9,100.0,100.0,25.0,85.7,85.7,87.5,60.0,25.0,50.0,44.4,60.0,10.0
체인지업,,,,,,100.0,100.0,,87.5,100.0,,,100.0,85.7,33.3,,,100.0,80.0,50.0,,100.0,75.0,20.0,
포크볼,,,100.0,,,,100.0,100.0,100.0,100.0,,,100.0,100.0,100.0,,100.0,87.5,66.7,50.0,,0.0,22.2,60.0,50.0
우투,100.0,85.7,66.7,50.0,100.0,100.0,100.0,75.0,80.0,80.0,100.0,100.0,85.7,84.0,57.1,54.5,85.7,91.7,72.2,80.0,20.0,47.1,52.4,50.0,50.0
좌투,100.0,50.0,0.0,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,83.3,100.0,,100.0,100.0,90.9,75.0,,0.0,14.3,50.0,9.1
결정구,100.0,80.0,75.0,0.0,100.0,100.0,100.0,62.5,83.3,80.0,100.0,100.0,92.3,77.8,71.4,100.0,100.0,100.0,82.4,85.7,0.0,37.5,62.5,33.3,20.0
카운트,100.0,83.325,51.775,66.667,100.0,100.0,100.0,72.25,72.525,93.333,100.0,100.0,94.625,83.625,70.0,64.6,87.5,89.7,80.1,74.375,50.0,47.233,43.6,47.833,8.325
패스트볼,100.0,83.35,76.65,50.0,100.0,100.0,100.0,86.95,82.35,80.0,100.0,100.0,86.133,55.533,75.0,56.65,66.667,98.4,85.867,100.0,,83.35,80.0,50.0,
