ops,ops_1,ops_2,ops_3,ops_4,ops_5,ops_6,ops_7,ops_8,ops_9,ops_10,ops_11,ops_12,ops_13,ops_14,ops_15,ops_16,ops_17,ops_18,ops_19,ops_20,ops_21,ops_22,ops_23,ops_24,ops_25
전체,0.733,0.533,0.745,0.556,,0.844,1.435,1.005,1.071,0.804,1.393,1.042,1.023,1.071,0.476,0.8,0.846,0.92,0.811,0.75,1.111,0.313,0.583,0.743,0.417
커브,,,,0.5,,,0.0,0.45,0.0,0.0,,0.0,0.4,1.334,0.0,,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
슬라이더,0.0,,1.933,0.0,,,1.334,0.572,2.0,3.0,0.5,1.333,0.548,1.334,0.0,,1.0,0.643,0.666,0.833,,0.0,0.762,0.8,0.333
체인지업,,0.0,3.0,,,,2.667,0.666,1.667,1.0,1.0,1.666,1.111,0.5,0.25,,1.0,1.0,0.529,0.0,2.0,0.5,0.334,0.65,0.5
포크볼,,2.0,,,,,,1.0,1.833,0.0,,0.583,0.4,0.715,1.0,,1.6,0.292,1.334,,,0.0,0.444,0.5,0.0
우투,3.0,0.453,0.2,0.667,,0.804,1.643,1.15,1.583,0.65,1.964,1.361,1.11,0.954,0.473,,1.1,0.955,1.0,0.25,1.083,0.167,0.663,0.667,0.0
좌투,0.0,0.65,1.85,0.0,,1.0,0.75,0.637,0.5,1.5,0.9,0.75,0.72,0.962,0.0,0.5,0.0,0.847,0.556,1.025,,0.0,0.25,0.788,0.5
결정구,0.0,0.286,0.125,0.333,,0.5,0.222,0.556,1.227,0.715,2.2,0.913,0.637,1.334,0.398,,0.25,0.64,0.72,0.453,1.0,0.167,0.448,0.658,0.3
카운트,0.667,0.768,0.922,0.278,,0.589,1.392,0.99,0.987,0.416,1.194,1.072,1.575,0.959,0.286,0.0,1.137,0.691,0.63,0.667,1.166,0.278,0.643,0.731,0.278
패스트볼,0.584,0.196,0.086,0.4,,0.935,1.231,1.161,0.9,0.5,1.4,0.386,0.728,1.401,0.25,0.75,0.7,0.965,1.637,1.375,,0.75,1.416,1.25,
