스윙율,스윙율_1,스윙율_2,스윙율_3,스윙율_4,스윙율_5,스윙율_6,스윙율_7,스윙율_8,스윙율_9,스윙율_10,스윙율_11,스윙율_12,스윙율_13,스윙율_14,스윙율_15,스윙율_16,스윙율_17,스윙율_18,스윙율_19,스윙율_20,스윙율_21,스윙율_22,스윙율_23,스윙율_24,스윙율_25
전체,40.5,46.9,43.1,12.3,0.0,62.2,67.7,80.2,55.0,15.7,33.9,68.5,75.3,59.0,22.4,25.8,57.5,69.5,58.0,16.5,10.1,28.3,44.4,25.2,14.3
커브,0.0,0.0,22.2,8.3,0.0,50.0,66.7,63.6,33.3,40.0,40.0,25.0,53.3,45.5,60.0,16.7,83.3,66.7,71.4,41.7,14.3,50.0,29.4,27.3,15.4
슬라이더,8.3,0.0,33.3,12.5,0.0,20.0,58.3,73.3,50.0,16.7,36.4,80.0,83.3,48.0,15.4,31.3,66.7,77.4,60.0,20.7,13.8,46.7,50.0,33.3,24.1
체인지업,0.0,100.0,20.0,0.0,0.0,,75.0,100.0,61.5,18.2,75.0,83.3,91.7,75.0,30.4,33.3,71.4,82.4,84.6,16.7,8.3,8.3,51.6,25.0,16.7
포크볼,,100.0,33.3,0.0,0.0,,0.0,71.4,58.3,15.4,50.0,71.4,87.5,83.3,25.0,0.0,77.8,80.0,64.7,0.0,0.0,17.6,52.9,28.6,16.7
우투,26.7,48.6,44.3,11.5,0.0,63.0,73.0,80.8,56.6,13.9,32.4,67.2,80.0,64.1,23.2,21.3,59.3,71.4,58.3,10.6,11.0,30.7,46.9,25.9,12.5
좌투,50.0,46.4,37.0,12.5,0.0,60.0,53.3,80.0,53.1,27.3,38.1,71.4,70.3,48.8,24.0,38.5,58.3,59.5,54.0,25.6,0.0,33.3,33.3,27.3,14.8
결정구,76.9,58.8,56.3,25.0,0.0,100.0,85.7,100.0,100.0,40.0,87.5,96.0,100.0,88.5,56.3,42.9,75.0,100.0,86.1,36.0,22.7,50.0,67.4,36.1,23.5
카운트,31.4,48.15,38.15,9.175,0.0,52.575,64.8,77.125,48.7,12.175,30.275,63.55,73.65,55.0,14.775,18.7,54.2,68.825,57.3,15.425,7.95,22.975,41.8,17.725,11.125
패스트볼,69.433,35.6,63.833,28.133,0.0,76.0,62.133,78.2,49.3,4.567,17.533,65.567,71.1,50.0,13.1,31.9,13.733,52.433,48.467,13.4,3.35,3.5,30.167,13.1,0.0
