스윙율,스윙율_1,스윙율_2,스윙율_3,스윙율_4,스윙율_5,스윙율_6,스윙율_7,스윙율_8,스윙율_9,스윙율_10,스윙율_11,스윙율_12,스윙율_13,스윙율_14,스윙율_15,스윙율_16,스윙율_17,스윙율_18,스윙율_19,스윙율_20,스윙율_21,스윙율_22,스윙율_23,스윙율_24,스윙율_25
전체,15.8,23.3,30.2,9.8,0.0,31.6,64.5,65.2,51.9,30.2,43.3,61.9,76.9,50.0,25.0,34.4,58.1,79.1,60.6,23.1,14.8,40.8,43.6,36.4,30.8
커브,0.0,,0.0,0.0,0.0,,100.0,50.0,100.0,0.0,0.0,50.0,0.0,33.3,50.0,,50.0,66.7,100.0,0.0,0.0,40.0,100.0,100.0,50.0
슬라이더,0.0,33.3,20.0,33.3,0.0,25.0,37.5,57.1,25.0,16.7,83.3,100.0,62.5,80.0,0.0,50.0,75.0,80.0,60.0,60.0,12.5,53.3,60.0,0.0,33.3
체인지업,,,,0.0,0.0,,0.0,50.0,25.0,33.3,0.0,,100.0,25.0,,0.0,,80.0,0.0,40.0,0.0,25.0,50.0,62.5,50.0
포크볼,,0.0,,0.0,0.0,,,,25.0,33.3,0.0,66.7,50.0,33.3,25.0,,33.3,100.0,83.3,20.0,0.0,25.0,33.3,80.0,0.0
우투,0.0,25.0,31.0,9.3,0.0,42.9,70.0,62.9,50.0,35.7,61.1,58.8,78.8,43.5,30.0,35.7,63.3,82.1,69.2,21.4,16.0,41.9,40.6,60.0,0.0
좌투,15.4,0.0,33.3,0.0,0.0,27.3,57.1,75.0,50.0,27.3,28.6,85.7,80.0,58.3,12.5,50.0,45.5,70.0,56.3,33.3,,50.0,57.1,12.5,44.4
결정구,40.0,75.0,55.6,26.7,0.0,62.5,100.0,87.5,100.0,52.9,57.1,100.0,100.0,90.0,50.0,66.7,88.9,100.0,84.6,60.0,12.5,40.0,57.1,71.4,37.5
카운트,17.45,19.0,38.375,6.85,0.0,25.425,50.825,69.9,51.2,32.6,45.2,61.5,70.775,48.1,12.675,32.4,50.375,79.6,56.925,17.55,12.133,42.975,29.175,26.95,30.95
패스트볼,7.133,9.1,12.9,2.867,0.0,19.25,71.533,54.65,50.833,66.0,37.6,67.3,62.733,73.333,23.1,33.3,72.967,82.767,51.267,0.0,59.1,37.4,41.65,35.9,0.0
