ops,ops_1,ops_2,ops_3,ops_4,ops_5,ops_6,ops_7,ops_8,ops_9,ops_10,ops_11,ops_12,ops_13,ops_14,ops_15,ops_16,ops_17,ops_18,ops_19,ops_20,ops_21,ops_22,ops_23,ops_24,ops_25
전체,0.667,0.375,0.963,0.333,2.0,0.2,0.529,0.465,0.526,0.545,0.955,0.485,0.959,0.694,0.756,1.083,1.147,0.86,0.905,0.349,1.4,0.458,0.675,0.399,0.282
커브,,,,,,,0.0,0.0,,,1.334,0.0,1.334,1.125,,0.5,0.0,0.0,0.0,0.25,2.0,0.65,1.0,0.5,
슬라이더,,,2.5,,,,1.5,0.572,0.5,0.0,2.0,0.334,1.286,0.5,,,0.572,1.467,0.938,0.667,,0.0,0.65,0.4,0.0
체인지업,,,,,2.0,,,0.0,0.666,,,0.0,0.5,0.857,1.167,,0.666,1.6,2.0,0.0,,,0.4,0.0,0.0
포크볼,,,0.0,,,,,,1.334,,,,0.444,0.0,0.0,,2.25,0.0,0.0,1.167,0.0,0.25,0.611,0.0,0.0
우투,,0.25,0.444,0.333,2.0,0.0,0.833,0.316,0.666,,1.0,0.272,0.743,0.685,0.75,0.6,1.208,0.9,0.857,0.453,1.389,0.437,0.539,0.286,0.2
좌투,0.6,0.333,1.833,0.0,,0.333,0.286,0.778,0.334,0.0,1.167,1.0,1.0,0.625,0.667,2.0,0.715,0.7,0.85,0.222,,0.333,1.029,0.522,0.334
결정구,0.333,0.0,0.974,0.333,,0.25,0.222,0.236,0.47,0.375,0.333,0.0,0.619,0.666,0.75,1.3,0.5,1.043,0.266,0.214,,0.2,0.538,0.236,0.111
카운트,0.25,0.25,1.0,0.0,2.0,0.25,0.55,0.369,0.966,0.375,1.62,0.335,0.965,1.082,0.6,1.139,0.91,0.892,1.031,0.8,1.6,0.828,0.732,0.568,0.778
패스트볼,0.5,0.286,0.4,0.333,,0.0,0.231,0.282,0.222,0.2,0.3,0.233,0.797,0.3,0.0,1.25,2.47,0.607,1.024,0.0,,2.0,0.75,1.084,2.0
