스윙율,스윙율_1,스윙율_2,스윙율_3,스윙율_4,스윙율_5,스윙율_6,스윙율_7,스윙율_8,스윙율_9,스윙율_10,스윙율_11,스윙율_12,스윙율_13,스윙율_14,스윙율_15,스윙율_16,스윙율_17,스윙율_18,스윙율_19,스윙율_20,스윙율_21,스윙율_22,스윙율_23,스윙율_24,스윙율_25
전체,15.8,26.7,27.4,9.1,5.5,42.9,64.0,69.5,49.0,15.2,47.8,67.6,84.4,55.5,16.3,48.6,76.6,81.7,70.7,30.0,12.8,42.7,56.7,66.0,26.3
커브,0.0,0.0,0.0,0.0,0.0,,100.0,40.0,25.0,0.0,66.7,40.0,77.8,42.9,11.1,40.0,66.7,25.0,44.4,23.1,25.0,64.3,61.5,54.5,6.3
슬라이더,0.0,0.0,16.7,0.0,0.0,20.0,43.8,50.0,35.3,0.0,57.1,53.3,70.6,34.6,0.0,77.8,81.3,84.6,81.8,33.3,23.1,72.7,68.4,78.3,33.3
체인지업,,,0.0,0.0,10.0,0.0,100.0,66.7,30.0,9.1,,42.9,100.0,64.3,14.3,100.0,60.0,80.0,77.8,31.3,0.0,11.1,66.7,85.7,42.9
포크볼,,0.0,16.7,0.0,0.0,100.0,0.0,0.0,37.5,0.0,0.0,33.3,86.7,66.7,16.7,50.0,100.0,58.3,80.0,46.7,14.3,40.0,62.1,70.6,46.2
우투,0.0,33.3,30.0,9.1,6.6,44.4,63.2,80.0,53.2,12.9,48.6,65.2,82.2,53.8,20.4,44.0,77.4,83.3,70.0,31.9,14.6,47.1,56.9,73.3,42.9
좌투,21.4,21.1,22.6,5.6,0.0,40.0,68.0,57.1,45.2,25.0,33.3,75.0,85.3,57.7,8.3,60.0,73.7,78.0,72.1,30.6,0.0,30.8,48.3,52.4,22.6
결정구,28.6,63.6,30.3,15.4,8.0,87.5,76.9,96.2,82.1,36.7,40.0,85.7,97.3,76.2,41.7,33.3,82.4,90.6,66.7,39.5,6.7,48.9,61.4,65.9,29.7
카운트,14.175,22.025,25.225,8.225,8.125,32.425,57.225,69.875,43.15,11.45,50.425,62.325,83.0,48.075,14.925,52.275,75.075,78.675,68.85,27.225,15.025,36.0,42.475,63.95,26.95
패스트볼,11.55,13.8,22.933,5.0,3.333,53.7,70.067,65.0,21.267,14.5,54.5,77.367,89.4,41.033,17.933,44.367,90.833,87.9,65.633,24.367,0.0,38.9,9.533,40.633,16.667
