ops,ops_1,ops_2,ops_3,ops_4,ops_5,ops_6,ops_7,ops_8,ops_9,ops_10,ops_11,ops_12,ops_13,ops_14,ops_15,ops_16,ops_17,ops_18,ops_19,ops_20,ops_21,ops_22,ops_23,ops_24,ops_25
전체,0.667,0.583,0.464,0.625,0.778,0.5,0.385,0.803,0.583,0.722,0.933,1.15,0.826,0.769,0.688,1.5,0.551,0.741,0.847,0.439,0.5,0.311,0.627,0.602,0.211
커브,,,0.0,0.5,,,0.0,,0.0,,,2.0,0.666,0.666,,,0.0,0.5,0.0,1.167,,,0.8,0.0,
슬라이더,,,1.167,,,,1.667,0.334,0.8,0.0,2.0,0.429,0.769,0.555,0.0,0.0,0.715,0.5,0.764,0.334,0.333,0.0,0.286,0.286,0.0
체인지업,,,,,,,,0.0,0.0,0.4,,2.0,1.286,0.4,0.8,,0.0,0.25,1.0,0.333,,1.0,1.0,0.4,0.0
포크볼,,,0.0,,,,0.0,,0.0,0.5,,,2.5,0.4,1.0,,2.5,1.0,1.227,,0.0,0.0,0.286,0.8,0.2
우투,0.0,0.666,0.466,0.692,,0.5,0.0,1.162,0.643,0.75,0.833,1.222,0.991,0.64,0.75,1.833,0.619,0.83,0.985,0.5,0.4,0.347,0.556,0.762,0.0
좌투,,0.333,0.453,0.333,0.5,0.5,1.25,0.5,0.286,0.0,,1.0,0.571,1.0,1.0,0.0,0.75,0.333,0.297,0.398,,0.0,0.606,0.382,0.364
결정구,0.6,0.583,0.192,0.636,0.6,0.0,0.555,0.976,0.737,0.333,1.0,1.125,0.75,0.666,0.286,,0.5,0.783,0.549,0.282,0.6,0.4,0.382,0.321,0.167
카운트,0.333,0.292,0.476,0.278,0.0,0.0,0.278,1.016,0.61,0.571,0.889,1.31,0.612,1.128,0.724,0.688,0.434,0.962,0.654,0.381,0.0,0.75,0.525,0.832,0.133
패스트볼,0.333,0.5,0.411,0.444,0.714,0.334,0.0,1.299,0.667,1.167,0.5,0.917,0.7,0.98,0.358,1.933,0.273,0.932,1.231,0.167,,0.25,1.33,1.3,0.0
