스윙율,스윙율_1,스윙율_2,스윙율_3,스윙율_4,스윙율_5,스윙율_6,스윙율_7,스윙율_8,스윙율_9,스윙율_10,스윙율_11,스윙율_12,스윙율_13,스윙율_14,스윙율_15,스윙율_16,스윙율_17,스윙율_18,스윙율_19,스윙율_20,스윙율_21,스윙율_22,스윙율_23,스윙율_24,스윙율_25
전체,20.0,14.3,33.9,11.3,3.9,31.4,63.1,59.5,50.5,22.8,40.0,62.3,69.4,67.3,31.1,40.0,80.0,72.0,72.1,25.0,25.0,40.2,62.2,60.9,24.3
커브,0.0,20.0,0.0,7.7,0.0,0.0,20.0,10.0,37.5,0.0,50.0,33.3,46.2,57.1,0.0,33.3,66.7,58.3,62.5,50.0,0.0,69.2,68.2,57.1,0.0
슬라이더,0.0,0.0,22.2,0.0,33.3,28.6,35.7,50.0,40.9,9.1,40.0,52.4,62.2,73.7,19.2,40.0,81.3,70.5,84.2,39.1,50.0,52.2,76.2,62.9,31.4
체인지업,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,50.0,21.1,25.0,60.0,70.6,60.0,42.1,0.0,75.0,85.0,82.4,25.0,0.0,40.0,52.2,88.2,30.8
포크볼,,,16.7,0.0,0.0,,25.0,25.0,25.0,25.0,33.3,0.0,72.7,62.5,28.6,0.0,100.0,58.8,86.4,22.2,11.1,23.5,55.2,53.8,41.7
우투,30.0,22.9,34.8,11.8,1.7,26.3,68.2,60.3,55.0,25.8,43.6,58.3,67.8,68.9,39.0,37.5,78.9,76.8,76.9,20.5,28.0,42.9,53.0,64.3,33.3
좌투,15.0,6.3,31.8,11.5,22.2,38.5,52.6,60.0,45.9,16.7,22.2,68.0,71.2,66.7,20.0,50.0,80.0,62.8,66.7,29.8,0.0,36.4,80.6,57.4,20.8
결정구,41.7,38.9,59.0,27.6,9.7,100.0,100.0,100.0,97.0,28.6,90.0,93.3,100.0,100.0,55.2,80.0,95.8,97.2,94.4,40.0,42.1,66.7,86.0,88.9,30.2
카운트,14.725,11.0,24.275,8.5,2.825,26.1,49.575,54.7,45.675,17.825,29.475,55.0,62.75,59.75,23.85,37.6,80.7,67.7,65.55,25.425,21.225,30.775,53.35,45.1,19.525
패스트볼,13.333,17.767,26.633,6.167,1.5,45.0,67.3,54.933,41.833,21.533,50.433,73.167,81.933,82.3,25.467,55.7,88.1,81.667,48.733,31.033,19.433,28.467,55.0,34.733,11.1
