피안타율,피안타율_1,피안타율_2,피안타율_3,피안타율_4,피안타율_5,피안타율_6,피안타율_7,피안타율_8,피안타율_9,피안타율_10,피안타율_11,피안타율_12,피안타율_13,피안타율_14,피안타율_15,피안타율_16,피안타율_17,피안타율_18,피안타율_19,피안타율_20,피안타율_21,피안타율_22,피안타율_23,피안타율_24,피안타율_25,PA_1,PA_2,PA_3,PA_4,PA_5,PA_6,PA_7,PA_8,PA_9,PA_10,PA_11,PA_12,PA_13,PA_14,PA_15,PA_16,PA_17,PA_18,PA_19,PA_20,PA_21,PA_22,PA_23,PA_24,PA_25
타율 - 전체,,0.000,0.000,0.000,,0.000,0.278,0.190,0.636,0.250,0.000,0.167,0.217,0.636,,0.000,0.400,0.316,0.167,0.667,0.000,0.200,0.333,0.000,0.000,,PA 4,PA 6,PA 5,PA 4,PA 2,PA 18,PA 23,PA 12,PA 5,PA 7,PA 18,PA 25,PA 11,PA 2,PA 2,PA 10,PA 20,PA 12,PA 4,PA 9,PA 5,PA 11,PA 5,PA 1
타율 - 투심,,0.000,0.000,0.000,,,0.200,0.571,0.500,0.500,0.000,0.200,0.000,1.000,,,0.000,0.000,0.000,0.000,,,,,,,PA 1,PA 1,PA 1,PA 3,,PA 5,PA 9,PA 3,PA 2,PA 3,PA 5,PA 4,PA 5,,,PA 2,PA 4,PA 3,PA 1,,,,PA 1,
타율 - 포심,,0.000,0.000,0.000,,0.000,0.250,0.000,0.571,0.000,,0.125,0.250,0.000,,,0.500,0.400,0.250,1.000,,,0.667,0.000,,,PA 2,PA 3,PA 3,PA 1,PA 1,PA 8,PA 7,PA 7,PA 3,PA 1,PA 8,PA 14,PA 3,PA 2,,PA 2,PA 6,PA 4,PA 1,PA 1,,PA 5,PA 1,
타율 - 슬라이더,,,0.000,,,,0.400,0.000,1.000,,0.000,0.250,0.333,1.000,,0.000,0.500,0.286,0.000,,0.000,0.500,0.333,,,,,PA 2,,,,PA 5,PA 5,PA 1,,PA 2,PA 4,PA 3,PA 1,,PA 2,PA 4,PA 7,PA 1,PA 1,PA 5,PA 2,PA 3,,
타율 - 포크볼,,0.000,,0.000,,0.000,,0.000,1.000,,0.000,0.000,0.250,0.500,,,0.500,0.667,0.250,1.000,0.000,0.000,0.000,0.000,0.000,,PA 1,,PA 1,,PA 1,,PA 2,PA 1,,PA 1,PA 1,PA 4,PA 2,,,PA 2,PA 3,PA 4,PA 1,PA 3,PA 3,PA 3,PA 3,PA 1
타율 - 우타,,0.000,0.000,0.000,,0.000,0.400,0.091,0.333,0.000,0.000,0.167,0.333,1.000,,0.000,0.667,0.333,0.000,,0.000,0.333,0.200,,,,PA 3,PA 6,PA 4,PA 3,PA 1,PA 10,PA 12,PA 7,PA 4,PA 4,PA 6,PA 11,PA 1,PA 2,PA 2,PA 3,PA 7,PA 1,PA 1,PA 8,PA 3,PA 5,,
타율 - 좌타,,,,0.000,,0.000,0.200,0.300,1.000,1.000,0.000,0.200,0.143,0.600,,,0.286,0.250,0.222,0.500,,0.000,0.333,0.000,0.000,,PA 1,,PA 1,PA 1,PA 1,PA 5,PA 11,PA 4,PA 1,PA 3,PA 10,PA 14,PA 10,,,PA 7,PA 12,PA 9,PA 2,,PA 1,PA 5,PA 4,PA 1
타율 - 양타,,,,,,,0.000,,1.000,,,0.000,,,,,,1.000,0.000,1.000,,0.000,1.000,0.000,,,,,,,,PA 3,,PA 1,,,PA 2,,,,,,PA 1,PA 2,PA 1,PA 1,PA 1,PA 1,PA 1,
타율 - 주자없음,,0.000,0.000,0.000,,0.000,0.167,0.100,0.500,0.000,0.000,0.167,0.214,0.600,,0.000,0.500,0.250,0.250,0.500,0.000,0.000,0.167,0.000,0.000,,PA 4,PA 4,PA 3,PA 3,PA 2,PA 12,PA 10,PA 6,PA 3,PA 2,PA 12,PA 14,PA 5,,PA 1,PA 6,PA 12,PA 8,PA 3,PA 6,PA 2,PA 6,PA 2,PA 1
타율 - 주자있음,,,0.000,0.000,,,0.500,0.273,0.800,0.500,0.000,0.167,0.222,0.667,,0.000,0.250,0.429,0.000,1.000,0.000,0.333,0.667,0.000,,,,PA 2,PA 2,PA 1,,PA 6,PA 13,PA 6,PA 2,PA 5,PA 6,PA 11,PA 6,PA 2,PA 1,PA 4,PA 8,PA 4,PA 1,PA 3,PA 3,PA 5,PA 3,
