구사율,구사율_1,구사율_2,구사율_3,구사율_4,구사율_5,구사율_6,구사율_7,구사율_8,구사율_9,구사율_10,구사율_11,구사율_12,구사율_13,구사율_14,구사율_15,구사율_16,구사율_17,구사율_18,구사율_19,구사율_20,구사율_21,구사율_22,구사율_23,구사율_24,구사율_25,PA_1,PA_2,PA_3,PA_4,PA_5,PA_6,PA_7,PA_8,PA_9,PA_10,PA_11,PA_12,PA_13,PA_14,PA_15,PA_16,PA_17,PA_18,PA_19,PA_20,PA_21,PA_22,PA_23,PA_24,PA_25
구사율 - 전체,0.6,2.7,5.0,4.4,4.2,1.5,4.9,8.2,5.4,3.2,5.2,7.6,6.1,3.8,2.6,4.5,3.8,5.6,3.2,1.7,5.4,4.5,3.6,1.3,1.0,5,21,39,34,33,12,38,64,42,25,41,59,48,30,20,35,30,44,25,13,42,35,28,10,8
구사율 - 투심,1.0,3.1,7.2,3.6,6.2,1.5,6.2,10.8,4.6,4.6,5.1,7.2,5.1,4.1,2.6,4.6,5.1,3.6,2.6,2.6,4.1,,1.5,2.1,1.0,2,6,14,7,12,3,12,21,9,9,10,14,10,8,5,9,10,7,5,5,8,,3,4,2
구사율 - 포심,0.3,2.5,5.7,6.7,4.1,1.3,4.8,7.6,7.0,3.8,6.3,9.5,7.3,4.1,2.5,3.2,2.5,6.3,3.8,1.3,3.5,1.9,2.9,0.6,0.3,1,8,18,21,13,4,15,24,22,12,20,30,23,13,8,10,8,20,12,4,11,6,9,2,1
구사율 - 커브,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,1
구사율 - 슬라이더,1.3,3.9,3.9,0.7,1.3,2.0,7.2,9.2,3.3,0.7,6.5,7.2,4.6,1.3,2.6,7.2,6.5,5.2,2.6,0.7,9.8,9.2,3.3,,,2,6,6,1,2,3,11,14,5,1,10,11,7,2,4,11,10,8,4,1,15,14,5,,
구사율 - 포크볼,,0.9,0.9,4.3,5.1,1.7,,4.3,5.1,2.6,0.9,3.4,6.8,6.0,2.6,4.3,1.7,7.7,3.4,2.6,6.8,12.8,9.4,3.4,3.4,,1,1,5,6,2,,5,6,3,1,4,8,7,3,5,2,9,4,3,8,15,11,4,4
구사율 - 우타,0.5,3.7,7.1,5.0,2.9,2.4,6.1,8.7,4.2,3.4,6.3,8.2,5.5,1.3,3.2,5.8,4.0,4.0,1.8,0.8,8.2,3.7,2.9,0.3,,2,14,27,19,11,9,23,33,16,13,24,31,21,5,12,22,15,15,7,3,31,14,11,1,
구사율 - 좌타,0.8,2.0,3.4,3.7,4.8,0.6,3.1,7.9,6.5,3.1,4.5,6.2,7.3,7.1,2.0,2.8,4.0,7.6,4.0,2.5,2.3,5.4,4.5,2.0,2.0,3,7,12,13,17,2,11,28,23,11,16,22,26,25,7,10,14,27,14,9,8,19,16,7,7
구사율 - 양타,,,,4.2,10.4,2.1,8.3,6.3,6.3,2.1,2.1,12.5,2.1,,2.1,6.3,2.1,4.2,8.3,2.1,6.3,4.2,2.1,4.2,2.1,,,,2,5,1,4,3,3,1,1,6,1,,1,3,1,2,4,1,3,2,1,2,1
구사율 - 주자없음,0.8,3.2,4.9,4.5,4.7,1.5,5.7,8.1,5.1,3.8,4.9,7.6,5.7,3.2,2.1,4.9,4.7,5.9,2.8,1.9,5.5,3.8,2.8,1.1,0.8,4,15,23,21,22,7,27,38,24,18,23,36,27,15,10,23,22,28,13,9,26,18,13,5,4
구사율 - 주자있음,0.3,1.9,5.2,4.2,3.5,1.6,3.5,8.4,5.8,2.3,5.8,7.4,6.8,4.8,3.2,3.9,2.6,5.2,3.9,1.3,5.2,5.5,4.8,1.6,1.3,1,6,16,13,11,5,11,26,18,7,18,23,21,15,10,12,8,16,12,4,16,17,15,5,4
