구사율,구사율_1,구사율_2,구사율_3,구사율_4,구사율_5,구사율_6,구사율_7,구사율_8,구사율_9,구사율_10,구사율_11,구사율_12,구사율_13,구사율_14,구사율_15,구사율_16,구사율_17,구사율_18,구사율_19,구사율_20,구사율_21,구사율_22,구사율_23,구사율_24,구사율_25,PA_1,PA_2,PA_3,PA_4,PA_5,PA_6,PA_7,PA_8,PA_9,PA_10,PA_11,PA_12,PA_13,PA_14,PA_15,PA_16,PA_17,PA_18,PA_19,PA_20,PA_21,PA_22,PA_23,PA_24,PA_25
구사율 - 전체,0.6,2.2,4.0,3.8,3.2,1.6,3.3,5.8,5.1,2.6,3.8,5.2,5.9,4.3,2.2,4.7,6.0,6.4,3.7,1.5,7.6,7.4,6.0,2.6,0.6,15,56,102,96,81,40,84,146,130,65,96,133,149,109,55,120,153,162,93,39,193,187,152,66,16
구사율 - 포심,1.2,3.0,5.2,4.7,4.2,1.7,4.0,7.6,6.6,3.1,4.6,5.6,7.1,5.5,2.3,4.3,5.0,6.6,4.1,1.0,3.1,3.9,3.6,1.3,0.4,11,28,48,43,39,16,37,70,61,29,42,52,65,51,21,40,46,61,38,9,29,36,33,12,4
구사율 - 커브,0.6,4.4,4.7,5.9,5.0,1.5,3.0,5.3,5.9,1.8,4.4,6.2,4.1,2.7,0.9,4.4,5.6,5.3,0.9,0.3,9.5,10.1,3.8,3.3,0.3,2,15,16,20,17,5,10,18,20,6,15,21,14,9,3,15,19,18,3,1,32,34,13,11,1
구사율 - 슬라이더,0.3,1.7,5.1,2.8,1.5,2.7,4.5,6.5,2.5,0.7,4.6,6.6,6.5,3.0,0.3,7.2,9.1,6.3,2.0,0.3,12.2,8.0,4.5,0.8,0.3,2,12,36,20,11,19,32,46,18,5,33,47,46,21,2,51,65,45,14,2,87,57,32,6,2
구사율 - 포크볼,,0.2,0.4,2.3,2.5,,0.9,2.1,5.5,4.4,1.1,2.3,4.2,4.9,5.1,2.5,4.1,6.7,6.7,4.8,7.8,10.6,13.1,6.5,1.6,,1,2,13,14,,5,12,31,25,6,13,24,28,29,14,23,38,38,27,44,60,74,37,9
구사율 - 구종모름,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
구사율 - 우타,1.0,3.5,5.6,3.8,1.8,2.9,4.7,6.2,3.5,0.5,6.6,7.6,5.6,3.0,0.7,7.6,7.9,5.5,2.3,0.2,9.7,5.9,2.9,0.7,0.3,12,41,65,45,21,34,55,72,41,6,77,89,66,35,8,89,92,64,27,2,113,69,34,8,4
구사율 - 좌타,0.2,1.2,2.6,3.7,4.5,0.5,2.1,5.4,6.4,4.4,1.4,3.4,5.8,5.8,3.5,2.3,4.7,7.0,5.0,3.0,4.9,8.6,8.7,4.0,1.0,3,14,32,45,55,6,25,66,77,53,17,41,70,70,42,28,57,85,61,36,59,104,105,49,12
구사율 - 양타,,0.6,3.2,3.8,3.2,,2.5,5.1,7.6,3.8,1.3,1.9,8.3,2.5,3.2,1.9,2.5,8.3,3.2,0.6,13.4,8.9,8.3,5.7,,,1,5,6,5,,4,8,12,6,2,3,13,4,5,3,4,13,5,1,21,14,13,9,
구사율 - 주자없음,0.5,2.7,4.5,4.5,4.1,1.7,3.8,5.9,5.2,2.2,3.9,5.6,5.9,3.9,2.3,4.4,5.9,6.1,3.5,1.1,8.3,5.4,5.3,2.9,0.5,7,36,60,60,54,23,50,78,69,29,52,75,79,52,30,59,78,81,46,15,111,72,70,39,6
구사율 - 주자있음,0.7,1.7,3.5,3.0,2.2,1.4,2.8,5.6,5.1,3.0,3.6,4.8,5.8,4.7,2.1,5.1,6.2,6.7,3.9,2.0,6.8,9.5,6.8,2.2,0.8,8,20,42,36,27,17,34,68,61,36,44,58,70,57,25,61,75,81,47,24,82,115,82,27,10
구사율 - 득점권,0.7,2.1,3.6,3.3,1.6,2.1,3.3,5.2,4.6,2.6,5.1,4.7,4.9,3.4,2.5,6.4,6.5,5.2,3.4,2.0,7.5,10.3,6.4,2.1,0.3,4,13,22,20,10,13,20,32,28,16,31,29,30,21,15,39,40,32,21,12,46,63,39,13,2
구사율 - 초구,,2.2,3.0,2.6,2.2,2.2,3.9,5.6,8.2,1.3,3.0,2.6,11.2,6.0,2.6,3.0,6.5,5.6,3.4,1.3,4.7,6.5,8.2,3.4,0.9,,5,7,6,5,5,9,13,19,3,7,6,26,14,6,7,15,13,8,3,11,15,19,8,2
구사율 - 2S 이후,0.3,1.6,3.6,3.9,4.3,2.6,2.9,5.9,4.6,3.0,3.2,4.5,4.9,2.9,2.3,4.2,4.0,6.9,3.5,1.9,9.4,9.9,5.2,3.7,0.9,2,11,25,27,30,18,20,41,32,21,22,31,34,20,16,29,28,48,24,13,65,69,36,26,6
구사율 - 스트라이크 > 볼,0.6,1.4,3.5,4.5,4.2,2.5,3.0,4.9,4.9,2.5,3.5,4.2,4.1,2.7,2.7,3.8,4.3,6.2,3.3,2.3,9.7,8.5,8.1,3.5,1.0,4,10,24,31,29,17,21,34,34,17,24,29,28,19,19,26,30,43,23,16,67,59,56,24,7
구사율 - 볼 > 스트라이크,0.7,3.1,4.4,3.3,1.9,0.8,3.4,7.8,4.9,2.0,4.6,7.1,6.9,5.2,1.1,5.4,6.3,7.6,4.2,1.1,6.1,5.6,4.8,1.2,0.4,5,23,32,24,14,6,25,57,36,15,34,52,51,38,8,40,46,56,31,8,45,41,35,9,3
구사율 - 스트라이크 = 볼,0.5,2.1,4.1,3.7,3.4,1.5,3.4,4.9,5.4,3.0,3.4,4.7,6.3,4.7,2.5,4.9,6.9,5.7,3.5,1.3,7.3,7.8,5.5,3.0,0.5,6,23,46,41,38,17,38,55,60,33,38,52,70,52,28,54,77,63,39,15,81,87,61,33,6
