피안타율,피안타율_1,피안타율_2,피안타율_3,피안타율_4,피안타율_5,피안타율_6,피안타율_7,피안타율_8,피안타율_9,피안타율_10,피안타율_11,피안타율_12,피안타율_13,피안타율_14,피안타율_15,피안타율_16,피안타율_17,피안타율_18,피안타율_19,피안타율_20,피안타율_21,피안타율_22,피안타율_23,피안타율_24,피안타율_25,PA_1,PA_2,PA_3,PA_4,PA_5,PA_6,PA_7,PA_8,PA_9,PA_10,PA_11,PA_12,PA_13,PA_14,PA_15,PA_16,PA_17,PA_18,PA_19,PA_20,PA_21,PA_22,PA_23,PA_24,PA_25
타율 - 전체,0.000,0.308,0.095,0.000,0.000,0.083,0.500,0.146,0.147,0.333,0.219,0.283,0.406,0.349,0.000,0.280,0.273,0.356,0.156,0.222,0.000,0.300,0.227,0.250,0.000,PA 7,PA 17,PA 24,PA 9,PA 4,PA 29,PA 33,PA 48,PA 34,PA 9,PA 34,PA 53,PA 69,PA 43,PA 19,PA 26,PA 44,PA 75,PA 32,PA 20,PA 10,PA 22,PA 28,PA 25,PA 20
타율 - 투심,0.000,1.000,,0.000,,0.000,0.667,0.500,0.667,,0.200,0.364,0.500,0.667,0.000,0.000,0.000,0.429,0.500,0.000,,0.500,0.000,0.000,,PA 3,PA 3,PA 1,PA 1,,PA 8,PA 6,PA 4,PA 3,,PA 6,PA 11,PA 8,PA 3,PA 4,PA 2,PA 4,PA 7,PA 4,PA 2,,PA 2,PA 2,PA 3,
타율 - 포심,0.000,0.182,0.053,0.000,,0.000,0.667,0.121,0.130,0.500,0.500,0.278,0.441,0.320,0.000,0.000,0.273,0.160,0.118,,,1.000,0.500,0.667,0.000,PA 3,PA 13,PA 20,PA 6,PA 3,PA 13,PA 16,PA 33,PA 23,PA 7,PA 6,PA 18,PA 34,PA 25,PA 13,PA 2,PA 11,PA 26,PA 17,PA 7,,PA 1,PA 6,PA 4,PA 4
타율 - 커터,,,0.000,,,0.000,1.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,,0.500,0.333,0.000,0.000,0.000,,,0.000,0.000,,,PA 1,,,PA 1,PA 1,PA 3,PA 3,,PA 3,PA 3,PA 4,PA 3,PA 1,,PA 2,PA 6,PA 3,PA 2,PA 1,,,PA 3,PA 3
타율 - 커브,,,,,,,0.000,0.000,0.000,,0.000,0.500,0.750,0.500,,1.000,0.000,0.500,,,,0.500,0.333,0.000,,,,,,,,PA 3,PA 1,PA 1,,PA 1,PA 2,PA 4,PA 2,,PA 1,PA 2,PA 2,,PA 2,,PA 2,PA 4,PA 3,PA 1
타율 - 슬라이더,,,,0.000,0.000,0.500,0.333,0.333,0.000,0.000,,0.667,0.091,0.333,,0.000,0.286,0.455,0.143,0.286,,0.333,0.333,0.333,0.000,,PA 1,PA 1,PA 2,PA 1,PA 2,PA 3,PA 3,PA 3,PA 1,,PA 3,PA 11,PA 6,,PA 2,PA 7,PA 22,PA 7,PA 7,,PA 3,PA 9,PA 10,PA 10
타율 - 체인지업,0.000,,1.000,,,0.250,0.000,0.000,0.000,0.000,0.176,0.188,0.625,0.500,,0.316,0.333,0.545,0.000,,0.000,0.167,0.000,0.000,0.000,PA 1,,PA 1,,,PA 5,PA 4,PA 4,PA 1,PA 1,PA 18,PA 16,PA 8,PA 4,PA 1,PA 19,PA 18,PA 12,PA 1,,PA 9,PA 14,PA 7,PA 2,PA 2
타율 - 우타,0.000,0.182,0.118,0.000,,0.063,0.364,0.172,0.111,0.500,0.190,0.333,0.463,0.370,0.000,0.412,0.385,0.391,0.176,0.000,0.000,0.385,0.231,0.200,0.000,PA 2,PA 15,PA 20,PA 6,PA 3,PA 18,PA 23,PA 29,PA 18,PA 5,PA 23,PA 39,PA 41,PA 27,PA 10,PA 17,PA 26,PA 48,PA 17,PA 9,PA 6,PA 14,PA 16,PA 19,PA 12
타율 - 좌타,0.000,1.000,0.000,0.000,0.000,0.167,0.750,0.118,0.071,0.333,0.375,0.143,0.333,0.231,0.000,0.000,0.125,0.227,0.167,0.286,0.000,0.167,0.250,0.250,0.000,PA 5,PA 2,PA 2,PA 3,PA 1,PA 8,PA 8,PA 17,PA 14,PA 3,PA 8,PA 14,PA 24,PA 13,PA 9,PA 7,PA 16,PA 22,PA 12,PA 11,PA 4,PA 7,PA 11,PA 4,PA 7
타율 - 양타,,,0.000,,,0.000,1.000,0.000,1.000,0.000,0.000,,0.250,0.667,,0.000,0.000,0.600,0.000,,,0.000,0.000,1.000,0.000,,,PA 2,,,PA 3,PA 2,PA 2,PA 2,PA 1,PA 3,,PA 4,PA 3,,PA 2,PA 2,PA 5,PA 3,,,PA 1,PA 1,PA 2,PA 1
타율 - 주자없음,0.000,0.333,0.200,0.000,,0.083,0.455,0.111,0.200,0.667,0.200,0.267,0.425,0.407,0.000,0.417,0.208,0.326,0.059,0.167,0.000,0.417,0.231,0.167,0.000,PA 3,PA 9,PA 8,PA 3,,PA 14,PA 22,PA 27,PA 20,PA 6,PA 15,PA 30,PA 40,PA 27,PA 15,PA 12,PA 24,PA 43,PA 17,PA 14,PA 4,PA 13,PA 17,PA 14,PA 7
타율 - 주자있음,0.000,0.286,0.063,0.000,0.000,0.083,0.600,0.190,0.071,0.000,0.235,0.304,0.379,0.250,0.000,0.154,0.350,0.400,0.267,0.333,0.000,0.125,0.222,0.375,0.000,PA 4,PA 8,PA 16,PA 6,PA 4,PA 15,PA 11,PA 21,PA 14,PA 3,PA 19,PA 23,PA 29,PA 16,PA 4,PA 14,PA 20,PA 32,PA 15,PA 6,PA 6,PA 9,PA 11,PA 11,PA 13
타율 - 득점권,0.000,0.333,0.143,0.000,0.000,0.333,0.625,0.250,0.000,0.000,0.231,0.250,0.308,0.222,,0.400,0.125,0.375,0.250,0.500,0.000,0.143,0.250,0.500,0.000,PA 4,PA 6,PA 7,PA 1,PA 3,PA 4,PA 9,PA 8,PA 8,PA 3,PA 15,PA 8,PA 13,PA 9,PA 1,PA 6,PA 8,PA 18,PA 8,PA 3,PA 4,PA 7,PA 5,PA 5,PA 5
