구사율,구사율_1,구사율_2,구사율_3,구사율_4,구사율_5,구사율_6,구사율_7,구사율_8,구사율_9,구사율_10,구사율_11,구사율_12,구사율_13,구사율_14,구사율_15,구사율_16,구사율_17,구사율_18,구사율_19,구사율_20,구사율_21,구사율_22,구사율_23,구사율_24,구사율_25,PA_1,PA_2,PA_3,PA_4,PA_5,PA_6,PA_7,PA_8,PA_9,PA_10,PA_11,PA_12,PA_13,PA_14,PA_15,PA_16,PA_17,PA_18,PA_19,PA_20,PA_21,PA_22,PA_23,PA_24,PA_25
구사율 - 전체,2.7,3.4,4.3,2.4,1.0,3.5,4.0,5.6,3.4,1.8,4.7,5.4,6.5,5.0,4.3,3.9,4.2,7.3,3.9,3.5,2.4,3.6,4.6,4.8,3.7,76,97,121,69,29,99,114,159,96,50,133,153,184,142,121,111,118,207,109,99,68,102,129,137,105
구사율 - 투심,6.3,3.8,3.5,2.0,0.8,6.8,5.3,6.0,2.8,0.8,6.5,7.8,6.0,5.0,2.5,4.8,5.0,8.3,3.0,2.3,0.5,3.0,3.3,3.0,0.8,25,15,14,8,3,27,21,24,11,3,26,31,24,20,10,19,20,33,12,9,2,12,13,12,3
구사율 - 포심,2.7,5.8,7.7,4.7,1.9,3.4,4.5,9.1,5.5,3.1,1.8,4.1,8.3,7.2,6.7,0.9,3.1,5.8,4.2,3.6,0.2,0.5,1.5,2.4,1.3,33,70,92,56,23,41,54,109,66,37,22,49,100,86,81,11,37,70,51,43,2,6,18,29,16
구사율 - 커터,0.7,0.7,3.0,,0.7,1.5,2.2,4.4,2.2,3.7,2.2,4.4,5.2,4.4,6.7,0.7,3.0,8.9,8.1,8.9,0.7,2.2,7.4,5.9,11.9,1,1,4,,1,2,3,6,3,5,3,6,7,6,9,1,4,12,11,12,1,3,10,8,16
구사율 - 커브,4.9,2.2,2.7,,0.5,2.7,5.5,2.7,3.3,1.1,8.2,5.5,7.7,2.7,1.6,2.2,4.4,6.0,2.2,2.7,2.2,5.5,8.8,9.9,4.4,9,4,5,,1,5,10,5,6,2,15,10,14,5,3,4,8,11,4,5,4,10,16,18,8
구사율 - 슬라이더,0.5,1.1,1.1,1.1,0.3,1.6,2.4,2.6,1.8,0.5,1.1,4.7,6.3,5.3,4.0,2.1,3.4,10.3,6.3,6.6,0.5,3.4,7.4,11.6,14.0,2,4,4,4,1,6,9,10,7,2,4,18,24,20,15,8,13,39,24,25,2,13,28,44,53
구사율 - 체인지업,1.1,0.6,0.4,0.2,,3.4,3.2,0.9,0.6,0.2,11.8,7.3,2.8,0.9,0.6,12.8,6.8,7.9,1.3,0.9,10.7,10.9,8.3,4.9,1.7,6,3,2,1,,18,17,5,3,1,63,39,15,5,3,68,36,42,7,5,57,58,44,26,9
구사율 - 우타,2.9,4.0,4.6,2.3,1.0,3.7,4.6,4.8,3.3,1.5,5.4,6.3,5.8,4.9,3.9,4.3,4.3,7.2,3.5,2.8,2.9,3.9,4.1,5.0,3.0,53,74,84,43,19,67,85,88,60,28,99,115,107,89,72,78,78,132,65,51,53,72,75,91,55
구사율 - 좌타,2.5,2.3,3.3,2.4,1.0,2.9,3.1,7.2,3.8,2.2,3.5,3.8,8.0,5.5,4.9,2.6,3.7,8.1,4.5,4.7,1.3,2.7,5.6,4.5,5.9,21,19,28,20,8,24,26,60,32,18,29,32,67,46,41,22,31,68,38,39,11,23,47,38,49
구사율 - 양타,1.3,2.5,5.7,3.8,1.3,5.1,1.9,7.0,2.5,2.5,3.2,3.8,6.3,4.4,5.1,7.0,5.7,4.4,3.8,5.7,2.5,4.4,4.4,5.1,0.6,2,4,9,6,2,8,3,11,4,4,5,6,10,7,8,11,9,7,6,9,4,7,7,8,1
구사율 - 주자없음,2.5,3.5,4.4,2.3,0.7,3.7,4.1,6.1,3.3,2.0,4.5,5.7,6.5,5.2,4.6,3.5,4.2,7.9,3.3,3.6,2.5,3.4,4.5,4.9,3.2,39,55,69,36,11,58,65,97,52,31,71,90,103,83,73,56,67,125,52,57,40,53,71,77,50
구사율 - 주자있음,3.0,3.4,4.2,2.6,1.4,3.3,3.9,5.0,3.5,1.5,5.0,5.1,6.5,4.7,3.8,4.4,4.1,6.6,4.6,3.4,2.2,3.9,4.7,4.8,4.4,37,42,52,33,18,41,49,62,44,19,62,63,81,59,48,55,51,82,57,42,28,49,58,60,55
구사율 - 득점권,4.0,3.8,3.8,2.7,2.1,2.7,5.4,4.9,4.0,1.4,5.1,3.5,5.6,4.8,3.7,4.6,3.2,6.8,4.6,3.8,2.1,3.8,4.3,4.8,4.8,25,24,24,17,13,17,34,31,25,9,32,22,35,30,23,29,20,43,29,24,13,24,27,30,30
구사율 - 초구,3.1,3.9,3.5,1.5,0.8,2.3,2.3,3.5,3.1,1.2,4.2,7.7,8.1,6.2,4.6,4.6,5.4,10.8,3.9,3.1,3.1,3.5,2.3,4.2,3.1,8,10,9,4,2,6,6,9,8,3,11,20,21,16,12,12,14,28,10,8,8,9,6,11,8
구사율 - 2S 이후,2.3,3.6,5.8,2.5,1.3,4.8,3.9,6.3,4.5,2.7,3.8,3.6,5.2,3.6,3.8,3.8,3.0,6.0,3.1,3.6,4.4,3.9,5.1,4.8,4.8,20,32,51,22,11,42,34,55,40,24,33,32,46,32,33,33,26,53,27,32,39,34,45,42,42
구사율 - 스트라이크 > 볼,2.8,4.0,4.6,3.3,1.3,3.9,3.9,4.9,3.3,2.6,4.0,4.6,4.6,4.6,4.2,4.2,2.9,5.1,3.4,4.3,3.8,3.9,6.2,4.6,5.1,26,37,42,30,12,36,36,45,30,24,37,42,42,42,39,39,27,47,31,40,35,36,57,42,47
구사율 - 볼 > 스트라이크,1.6,2.8,3.5,2.2,0.9,2.9,5.2,7.0,2.3,1.6,5.2,5.8,9.3,5.7,4.4,2.9,4.6,9.6,4.5,4.2,0.9,2.0,3.6,5.1,2.3,11,19,24,15,6,20,36,48,16,11,36,40,64,39,30,20,32,66,31,29,6,14,25,35,16
