피안타율,피안타율_1,피안타율_2,피안타율_3,피안타율_4,피안타율_5,피안타율_6,피안타율_7,피안타율_8,피안타율_9,피안타율_10,피안타율_11,피안타율_12,피안타율_13,피안타율_14,피안타율_15,피안타율_16,피안타율_17,피안타율_18,피안타율_19,피안타율_20,피안타율_21,피안타율_22,피안타율_23,피안타율_24,피안타율_25,PA_1,PA_2,PA_3,PA_4,PA_5,PA_6,PA_7,PA_8,PA_9,PA_10,PA_11,PA_12,PA_13,PA_14,PA_15,PA_16,PA_17,PA_18,PA_19,PA_20,PA_21,PA_22,PA_23,PA_24,PA_25
타율 - 전체,0.000,0.300,0.111,0.111,0.500,0.000,0.303,0.385,0.258,0.200,0.167,0.339,0.387,0.356,0.182,0.190,0.262,0.256,0.259,0.267,0.094,0.139,0.132,0.000,0.286,PA 2,PA 12,PA 12,PA 10,PA 7,PA 6,PA 34,PA 57,PA 31,PA 14,PA 27,PA 61,PA 63,PA 46,PA 12,PA 28,PA 61,PA 78,PA 54,PA 18,PA 43,PA 39,PA 38,PA 23,PA 7
타율 - 투심,0.000,0.000,0.000,0.000,1.000,,0.333,0.417,0.000,0.333,0.200,0.273,0.529,0.500,0.200,0.333,0.500,0.375,0.063,0.500,0.000,0.600,0.200,0.000,,PA 1,PA 2,PA 2,PA 5,PA 5,,PA 10,PA 14,PA 6,PA 7,PA 6,PA 11,PA 18,PA 12,PA 5,PA 4,PA 8,PA 16,PA 16,PA 4,PA 4,PA 5,PA 5,PA 2,
타율 - 포심,,0.429,0.167,0.000,0.000,0.000,0.235,0.423,0.261,0.000,0.143,0.391,0.320,0.278,0.000,0.000,0.286,0.208,0.111,0.000,1.000,0.000,0.250,,,,PA 9,PA 7,PA 3,PA 2,PA 2,PA 17,PA 28,PA 23,PA 4,PA 7,PA 23,PA 25,PA 19,PA 1,PA 5,PA 14,PA 24,PA 9,PA 3,PA 2,PA 2,PA 4,,
타율 - 커터,,,,,,,1.000,0.000,1.000,,0.000,,0.000,,0.000,1.000,,0.500,,,,0.000,,,,PA 1,,,,,,PA 1,PA 2,PA 1,,PA 2,,PA 1,,PA 1,PA 1,,PA 2,,,,PA 1,,,
타율 - 커브,,,,0.000,,0.000,0.000,0.400,,,0.000,0.200,0.400,0.250,,0.000,0.375,0.000,0.400,,0.000,0.200,1.000,0.000,0.000,,,,PA 1,,PA 1,PA 1,PA 5,,PA 1,PA 4,PA 7,PA 5,PA 4,,PA 1,PA 8,PA 4,PA 5,,PA 7,PA 5,PA 1,PA 1,PA 1
타율 - 슬라이더,,0.000,0.000,,,0.000,0.500,0.167,1.000,,0.250,0.231,0.455,0.333,0.000,0.200,0.158,0.364,0.250,1.000,0.125,0.000,0.400,0.000,,,PA 1,PA 2,,,PA 3,PA 4,PA 6,PA 1,,PA 4,PA 13,PA 11,PA 3,PA 2,PA 11,PA 19,PA 11,PA 4,PA 1,PA 17,PA 9,PA 5,PA 2,
타율 - 체인지업,,,0.000,1.000,,,0.000,0.500,,,0.500,0.571,0.000,0.375,0.500,0.000,0.167,0.190,0.450,0.125,0.000,0.063,0.000,0.000,0.333,,,PA 1,PA 1,,,PA 1,PA 2,,PA 2,PA 4,PA 7,PA 3,PA 8,PA 3,PA 6,PA 12,PA 21,PA 20,PA 10,PA 13,PA 17,PA 23,PA 18,PA 6
타율 - 우타,,0.333,0.250,0.000,0.000,0.000,0.273,0.480,0.263,0.250,0.214,0.344,0.323,0.471,0.000,0.154,0.231,0.289,0.176,0.000,0.107,0.130,0.118,0.000,0.000,,PA 7,PA 6,PA 5,PA 4,PA 2,PA 12,PA 26,PA 19,PA 10,PA 16,PA 34,PA 31,PA 18,PA 3,PA 16,PA 39,PA 38,PA 17,PA 5,PA 34,PA 23,PA 17,PA 5,PA 1
타율 - 좌타,0.000,0.250,0.000,0.250,1.000,0.000,0.300,0.292,0.200,0.000,0.100,0.318,0.519,0.318,0.250,0.250,0.286,0.231,0.273,0.364,0.000,0.154,0.143,0.000,0.333,PA 2,PA 5,PA 6,PA 5,PA 3,PA 4,PA 20,PA 27,PA 10,PA 4,PA 11,PA 22,PA 28,PA 22,PA 9,PA 12,PA 21,PA 39,PA 33,PA 12,PA 9,PA 16,PA 21,PA 18,PA 6
타율 - 양타,,,,,,,0.500,0.333,0.500,,,0.400,0.000,0.167,,,1.000,0.000,0.500,0.000,,,,,,,,,,,,PA 2,PA 4,PA 2,,,PA 5,PA 4,PA 6,,,PA 1,PA 1,PA 4,PA 1,,,,,
타율 - 주자없음,,0.250,0.250,0.000,0.500,0.000,0.211,0.500,0.222,0.200,0.214,0.394,0.394,0.400,0.143,0.143,0.275,0.212,0.267,0.000,0.083,0.158,0.130,0.000,0.333,,PA 5,PA 6,PA 5,PA 6,PA 3,PA 19,PA 30,PA 18,PA 5,PA 16,PA 33,PA 33,PA 30,PA 8,PA 21,PA 40,PA 52,PA 30,PA 8,PA 17,PA 21,PA 23,PA 15,PA 6
타율 - 주자있음,0.000,0.333,0.000,0.250,,0.000,0.429,0.227,0.308,0.200,0.100,0.269,0.379,0.267,0.250,0.286,0.238,0.346,0.250,0.444,0.100,0.118,0.133,0.000,0.000,PA 2,PA 7,PA 6,PA 5,PA 1,PA 3,PA 15,PA 27,PA 13,PA 9,PA 11,PA 28,PA 30,PA 16,PA 4,PA 7,PA 21,PA 26,PA 24,PA 10,PA 26,PA 18,PA 15,PA 8,PA 1
타율 - 득점권,,0.500,0.000,0.333,,0.000,0.300,0.154,0.286,0.250,0.125,0.231,0.313,0.333,0.500,0.000,0.214,0.357,0.154,0.500,0.111,0.000,0.167,0.000,,PA 1,PA 5,PA 2,PA 4,PA 1,PA 1,PA 10,PA 15,PA 7,PA 6,PA 8,PA 14,PA 16,PA 7,PA 2,PA 4,PA 14,PA 14,PA 13,PA 5,PA 13,PA 7,PA 6,PA 6,
타율 - 초구,,,0.000,0.000,,0.000,1.000,0.250,,,0.000,0.333,0.143,0.000,,0.000,0.000,0.000,0.333,0.000,,1.000,0.000,,,,,PA 2,PA 1,,PA 1,PA 1,PA 6,,,PA 1,PA 5,PA 8,PA 2,,PA 2,PA 1,PA 5,PA 3,PA 1,,PA 1,PA 1,,
타율 - 2S 이후,0.000,0.250,0.143,0.000,0.500,0.000,0.222,0.316,0.227,0.000,0.154,0.400,0.471,0.389,0.250,0.091,0.226,0.231,0.269,0.250,0.000,0.097,0.103,0.000,0.286,PA 2,PA 9,PA 8,PA 6,PA 4,PA 3,PA 18,PA 20,PA 22,PA 4,PA 15,PA 25,PA 17,PA 19,PA 9,PA 16,PA 31,PA 39,PA 26,PA 9,PA 32,PA 33,PA 29,PA 19,PA 7
타율 - 스트라이크 > 볼,0.000,0.286,0.200,0.000,1.000,0.000,0.368,0.412,0.294,0.200,0.167,0.300,0.375,0.412,0.125,0.000,0.172,0.148,0.391,0.273,0.050,0.136,0.111,0.000,0.400,PA 2,PA 7,PA 5,PA 5,PA 1,PA 4,PA 19,PA 18,PA 17,PA 6,PA 6,PA 20,PA 16,PA 17,PA 8,PA 10,PA 29,PA 27,PA 23,PA 12,PA 21,PA 22,PA 18,PA 18,PA 5
타율 - 볼 > 스트라이크,,0.333,,0.000,,0.000,0.000,0.222,0.286,0.500,0.400,0.182,0.619,0.400,0.500,0.333,0.400,0.345,0.200,,0.667,0.000,0.000,0.000,0.000,,PA 4,PA 2,PA 1,PA 3,PA 1,PA 8,PA 11,PA 7,PA 5,PA 8,PA 11,PA 21,PA 10,PA 3,PA 9,PA 15,PA 29,PA 10,PA 2,PA 11,PA 5,PA 2,PA 1,PA 1
타율 - 스트라이크 = 볼,,,0.000,0.250,0.000,0.000,0.429,0.423,0.143,0.000,0.077,0.429,0.200,0.278,0.000,0.333,0.294,0.273,0.143,0.250,0.000,0.167,0.167,0.000,0.000,,PA 1,PA 5,PA 4,PA 3,PA 1,PA 7,PA 28,PA 7,PA 3,PA 13,PA 30,PA 26,PA 19,PA 1,PA 9,PA 17,PA 22,PA 21,PA 4,PA 11,PA 12,PA 18,PA 4,PA 1
