구사율,구사율_1,구사율_2,구사율_3,구사율_4,구사율_5,구사율_6,구사율_7,구사율_8,구사율_9,구사율_10,구사율_11,구사율_12,구사율_13,구사율_14,구사율_15,구사율_16,구사율_17,구사율_18,구사율_19,구사율_20,구사율_21,구사율_22,구사율_23,구사율_24,구사율_25,PA_1,PA_2,PA_3,PA_4,PA_5,PA_6,PA_7,PA_8,PA_9,PA_10,PA_11,PA_12,PA_13,PA_14,PA_15,PA_16,PA_17,PA_18,PA_19,PA_20,PA_21,PA_22,PA_23,PA_24,PA_25
구사율 - 전체,1.0,2.0,3.7,2.4,1.6,2.2,3.8,5.6,3.7,2.1,4.2,6.1,6.7,4.5,2.1,5.5,6.4,7.3,4.0,2.2,7.4,6.0,5.3,3.0,1.2,30,57,106,69,46,64,110,163,106,60,122,176,194,131,60,159,184,210,115,64,213,174,152,86,36
구사율 - 투심,0.7,1.6,4.3,3.6,2.0,1.3,4.1,5.3,5.1,3.1,5.7,5.6,7.1,6.9,3.8,4.4,4.6,7.7,5.9,3.3,3.0,3.1,4.1,2.6,1.1,4,10,26,22,12,8,25,32,31,19,35,34,43,42,23,27,28,47,36,20,18,19,25,16,7
구사율 - 포심,2.2,3.8,4.9,3.3,3.2,3.5,5.8,9.9,5.6,2.3,3.6,8.2,8.6,4.7,1.8,5.4,4.9,6.5,2.4,1.5,2.7,1.6,2.2,1.1,0.2,21,36,46,31,30,33,55,93,53,22,34,77,81,44,17,51,46,61,23,14,25,15,21,10,2
구사율 - 커터,4.3,2.1,10.6,4.3,,2.1,4.3,4.3,2.1,8.5,8.5,4.3,6.4,2.1,4.3,4.3,2.1,8.5,,2.1,,8.5,6.4,,,2,1,5,2,,1,2,2,1,4,4,2,3,1,2,2,1,4,,1,,4,3,,
구사율 - 커브,0.4,0.4,2.0,0.8,0.4,2.4,2.0,5.6,1.6,2.4,6.0,5.6,5.6,3.6,1.2,4.8,11.6,6.0,3.2,1.2,17.7,10.0,2.4,2.0,0.8,1,1,5,2,1,6,5,14,4,6,15,14,14,9,3,12,29,15,8,3,44,25,6,5,2
구사율 - 슬라이더,0.4,1.9,4.4,1.7,0.6,3.4,3.8,3.2,1.1,0.4,5.5,7.2,5.7,2.3,0.6,9.1,8.6,7.0,1.5,0.2,16.2,9.9,3.4,1.7,0.2,2,9,21,8,3,16,18,15,5,2,26,34,27,11,3,43,41,33,7,1,77,47,16,8,1
구사율 - 체인지업,,,0.5,0.7,,,0.9,1.2,2.0,1.2,1.4,2.7,4.6,4.3,2.1,4.3,6.9,8.9,7.3,4.4,8.5,11.3,14.2,8.3,4.3,,,3,4,,,5,7,11,7,8,15,26,24,12,24,39,50,41,25,48,64,80,47,24
구사율 - 구종모름,,,,,,,,,33.3,,,,,,,,,,,,33.3,,33.3,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,
구사율 - 우타,1.1,1.8,2.7,1.5,1.1,2.2,3.9,5.6,3.2,1.7,4.7,7.0,6.6,4.1,1.4,6.7,8.0,7.7,2.9,1.7,11.7,6.3,4.5,1.6,0.4,15,25,38,21,15,30,54,78,45,24,65,97,92,57,20,93,111,107,41,23,163,87,62,22,6
구사율 - 좌타,1.0,2.3,4.7,3.3,2.1,2.3,3.8,5.7,4.1,2.5,3.8,5.1,6.6,4.6,2.6,4.4,4.6,7.0,4.9,2.7,3.3,5.8,6.0,4.3,2.1,14,32,66,47,29,33,54,80,57,35,54,72,93,65,37,62,65,98,69,38,47,82,85,61,30
구사율 - 양타,1.1,,2.2,1.1,2.2,1.1,2.2,5.5,4.4,1.1,3.3,7.7,9.9,9.9,3.3,4.4,8.8,5.5,5.5,3.3,3.3,5.5,5.5,3.3,,1,,2,1,2,1,2,5,4,1,3,7,9,9,3,4,8,5,5,3,3,5,5,3,
구사율 - 주자없음,1.0,2.0,3.6,2.7,2.0,2.0,3.8,5.7,4.1,2.4,3.6,5.1,6.6,5.1,2.4,5.3,6.3,7.6,3.9,1.9,6.5,6.1,5.8,2.9,1.5,18,36,63,47,36,36,67,101,73,42,63,91,117,91,43,93,111,134,69,33,115,107,103,52,27
구사율 - 주자있음,1.1,1.9,3.8,2.0,0.9,2.5,3.8,5.5,2.9,1.6,5.3,7.6,6.9,3.6,1.5,5.9,6.5,6.8,4.1,2.8,8.8,6.0,4.4,3.0,0.8,12,21,43,22,10,28,43,62,33,18,59,85,77,40,17,66,73,76,46,31,98,67,49,34,9
구사율 - 득점권,1.2,2.0,2.6,1.7,0.7,2.6,4.1,5.3,2.8,1.7,6.0,7.0,6.3,3.0,1.7,6.3,8.1,6.8,4.1,3.0,8.4,5.6,4.8,3.5,0.8,7,12,16,10,4,16,25,32,17,10,36,42,38,18,10,38,49,41,25,18,51,34,29,21,5
구사율 - 초구,2.6,1.9,4.5,3.7,2.6,2.6,4.8,8.2,3.0,1.1,4.1,6.3,8.6,5.9,1.1,5.2,4.5,9.7,3.7,1.1,4.8,5.6,3.0,1.5,,7,5,12,10,7,7,13,22,8,3,11,17,23,16,3,14,12,26,10,3,13,15,8,4,
구사율 - 2S 이후,1.0,2.8,4.2,2.4,1.6,2.3,3.3,4.3,3.8,2.0,3.9,4.4,3.7,3.8,2.1,5.2,5.0,6.3,3.9,2.3,9.6,8.6,6.9,4.2,2.3,9,25,38,22,14,21,30,39,34,18,35,40,33,34,19,47,45,57,35,21,86,77,62,38,21
구사율 - 스트라이크 > 볼,1.4,3.0,3.8,3.2,1.6,2.2,3.2,5.0,2.9,2.5,3.4,4.4,3.7,3.8,2.8,5.1,5.8,5.4,4.2,3.4,8.3,7.1,6.5,5.7,2.2,14,30,38,32,16,22,32,50,29,25,34,44,37,38,28,51,58,54,42,34,83,71,65,57,22
구사율 - 볼 > 스트라이크,0.5,2.1,2.6,1.7,1.0,1.7,4.1,5.4,5.9,1.3,4.5,5.9,10.6,5.3,2.1,5.3,6.9,11.9,3.6,2.0,7.4,3.5,3.5,0.8,0.3,3,13,16,10,6,10,25,33,36,8,27,36,64,32,13,32,42,72,22,12,45,21,21,5,2
구사율 - 스트라이크 = 볼,1.0,1.1,4.1,2.1,1.9,2.5,4.2,6.3,3.2,2.1,4.8,7.5,7.3,4.8,1.5,6.0,6.6,6.6,4.0,1.4,6.7,6.4,5.2,1.9,0.9,13,14,52,27,24,32,53,80,41,27,61,96,93,61,19,76,84,84,51,18,85,82,66,24,12
